company,career,education,region,reg,deadline,type,title,job,tag
하우시스오느른,3 ~ 10년,"대학(2,3년) 이상",경기 평택시,2022-05-17,2022-06-16,계약직,실내디자인 계약직 채용(경력사원),"
, 가구, 실내디자인, 인테리어공사, 홈인테리어,  ",디자인
(주)테헤란컴퍼니그룹,경력무관,학력무관,서울 강남구,2022-04-24,2022-06-22,정규직 · 계약직,(주)테헤란컴퍼니그룹 22년 상반기 인재 모집,"
, 영상편집, 마케팅기획, 마케팅전략, 광고마케팅, 바이럴마케팅,  외            ",디자인
주식회사 스퀘어즈,3 ~ 8년,대학교(4년) 이상,서울 성동구,2022-05-26,2022-06-24,정규직,브라이언베리 디자인실 경력사원 채용,"
, 의상디자인,  ",디자인
(주)마실,경력무관,학력무관,부산 해운대구,2022-05-26,2022-07-24,계약직,2022 썸네일/상세페이지/디자인/제안서外 채용 공고,"
, 광고디자인, 그래픽디자인, 디지털디자인, 로고디자인, 웹디자인,  외            ",디자인
아이덴잇,신입 · 경력,학력무관,서울 강서구,2022-05-20,2022-07-18,정규직,22년 SI아이덴잇 웹 앱UIUX 디자이너이너 신입/경력 채용,"
, 모바일디자인, 앱디자인, 웹디자인, UI/UX디자인,  ",디자인
심플로,경력무관,학력무관,서울 마포구,2022-05-26,2022-06-24,정규직,지그재그쇼핑몰 AMD CS 쇼핑몰관리 상품기획,"
, 사이트관리, 쇼핑몰관리, 기획MD, 온라인MD, AMD,  외            ",디자인
피알랩,경력무관,학력무관,인천 미추홀구,2022-05-24,2022-06-22,정규직,피알랩 옥외광고 디자인하실분을 모집합니다,"
, 간판, 리플렛, 옥외광고, 포스터, 현수막,  외            ",디자인
(주)세컨아이즈,경력 2년↑,학력무관,서울 강북구,2022-05-26,2022-07-24,정규직,"쇼핑몰 웹디자이너 , sns 운영 경력사원 채용 (촬영업무 가능자)","
, 사이트관리, 영상편집, 촬영, 유튜브, 콘텐츠에디터,  외            ",디자인
(주)글로벌트러스,신입 · 경력,학력무관,경기 파주시,2022-05-26,2022-06-24,정규직,콘서트·공연·방송·이벤트 무대 디자이너 인재 모십니다.,"
, 설비OP, 방송엔지니어, 공연기획, 공연예술, 무대제작,  외            ",디자인
소소한 빛,2 ~ 4년,학력무관,대전 대덕구,2022-04-25,채용시,정규직,디즈니캐릭터와 함께할 편집디자이너 모십니다.,"
, 광고디자인, 시각디자인, 일러스트레이터, 편집디자인, 상세페이지,  외            ",디자인
(주)드림아이디,경력무관,학력무관,경기 수원시 권선구,2022-05-26,2022-07-24,정규직,디자인팀 웹디자인 경력무관 채용,"
, 웹디자인, 일러스트,  ",디자인
(주)에이블리코퍼레이션,경력무관,학력무관,서울 서초구,2022-05-20,채용시,인턴직,[에이블리] 콘텐츠 디자이너 인턴,"
, 문구디자인, 배너디자인, 시각디자인, 앱디자인, 웹디자인,  외            ",디자인
(주)텐바이텐,2 ~ 5년,"대학(2,3년) 이상",서울 종로구,2022-05-26,2022-06-24,정규직,[텐바이텐] PB디자이너 경력직,"
, 상품관리, 문구디자인, 브랜드디자인, 산업디자인, 완구디자인,  외            ",디자인
송아리아이티,신입,대학교(4년) 이상,서울 강남구,2022-05-26,2022-06-24,정규직,[신입] UX/UI 디자이너를 채용합니다.,"
, 모바일디자인, 웹디자인, 일러스트레이터, UI/UX디자인, Sketch,  외            ",디자인
(주)한서정공,경력 3년↑,"대학(2,3년) 이상",충남 천안시 서북구,2022-05-26,2022-06-24,정규직,경영기획/관리 경력직 모집,"
, 총무, 인사행정, 마케팅기획, 광고디자인, 문서작성,  외            ",디자인
(주)퍼니이브,경력무관,학력무관,서울 관악구,2022-05-11,채용시,계약직,[모바일 게임] 도트/픽셀 디자이너 채용,"
, 게임디자인, 도트/픽셀아트,  ",디자인
BRICOL.LAB,경력무관,학력무관,서울 강남구,2022-05-26,2022-06-24,정규직,"BrCl 디자인 스튜디오 그래픽디자이너 채용 (경력무관, 정규직)","
, 그래픽디자인, 실내건축시공, 인테리어공사, 홈인테리어,  ",디자인
(주)에코밸리,경력 5년↑,"대학(2,3년) 이상",서울 마포구,2022-05-18,채용시,정규직,본사 우수디자이너 채용 공고,"
, 경관디자인, 공간디자인, 산업디자인, 라이노, 일러스트,  외            ",디자인
부산대학교,경력무관,대학교(4년) 이상,부산 금정구,2022-05-26,채용시,계약직,2022 부산대학교 공학교육혁신센터 연구원(대체인력) 공개채용,"
, 문서작성, PowerPoint, 편집디자인, 일러스트, PhotoShop,  외            ",디자인
(주)제이월드,경력 6년↑,학력무관,아시아·중동 인도,2022-05-26,2022-06-24,정규직 · 해외취업,제이월드 인도법인 각 부문별 경력자 채용,"
, 총무, 거래처영업, R&D, CAD, 구매관리,  외            ",디자인
(주)에이지엣랩스,2 ~ 7년,"대학(2,3년) 이상",서울 성동구,2022-05-20,2022-06-18,정규직,콘텐츠 디자이너,"
, 광고디자인, 패키지디자인, 상세페이지, 일러스트, PhotoShop,  외            ",디자인
수디자인,경력 3년↑,"대학(2,3년) 이상",전북 전주시 완산구,2022-05-26,2022-07-24,정규직,미래를 도전하는 전문가로 성장할 끼넘치는 디자이너를 모십니다,"
, 산업디자인, 시각디자인, 패키지디자인,  ",디자인
(주)냠냠엔터테인먼트,경력무관,학력무관,서울 강남구,2022-05-26,채용시,정규직,(주) 냠냠엔터테인먼트 홍보 팀 영상 분야 모집,"
, 영상제작, 영상편집, 촬영, 유튜브, 프리미어,  외            ",디자인
(주)엠엠비에이치,신입 · 경력,학력무관,서울 용산구,2022-04-20,2022-06-19,정규직,MAISONMARAIS(메종마레) 마케팅 사원 채용,"
, 의상디자인, 일러스트,  ",디자인
(주)뉴욕에듀케이션,경력무관,학력무관,제주 서귀포시,2022-05-26,2022-06-24,프리랜서,PhotoShop&SNS 프리랜서 채용합니다(경력무관),"
, SNS, PhotoShop, 블로그관리,  ",디자인
