company,career,education,region,reg,deadline,type,title,job,tag
(주)플라팜,신입 · 경력,학력무관,서울 성동구,2022-05-31,2022-06-29,정규직,상품에 활력을 불어넣어줄 센스있는 MD를 찾습니다.,"
, 사무직, 문서작성, 사무보조, 사이트관리, 콘텐츠관리,  외            ",구매·자재·물류
대연화학㈜,신입,대학교(4년) 이상,경기 성남시 분당구,2022-05-17,채용시,정규직,"판매관리팀(물류, 총무) 신입사원 정규직","
, 총무, 비품관리, 물류관리, 재고관리, 창고관리,  외            ",구매·자재·물류
(주)에프앤비네트웍스,경력무관,학력무관,경기 광주시,2022-05-12,채용시,정규직,"[충남-채용대행]2차전지 생산(기숙사무료,상여달450만,주말휴무)","
, 단순생산직, 생산관리, QA, QC, 반도체설계,  외            ",구매·자재·물류
(주)에프앤비네트웍스,경력무관,학력무관,경기 고양시,2022-06-02,2022-07-02,정규직,[정규직]휴대폰 배터리 생산/주5일/주말휴무/기숙사무료,"
, 단순생산직, 생산관리, QA, QC, 반도체설계,  외            ",구매·자재·물류
(주)우리즈,경력무관,학력무관,부산 수영구,2022-05-09,2022-06-23,정규직 · 계약직,(주)우리즈 2022 상반기 고객관리(상담/CS/지원/발주) 채용 공고,"
, 계산서발행, ERP, 사이트관리, 쇼핑몰관리, 정산관리,  외            ",구매·자재·물류
(주)에프앤비네트웍스,경력무관,학력무관,인천 강화군,2022-06-08,2022-07-07,정규직,[충남아산 정규직-채용대행] 휴대폰 배터리/기숙사무료/급여최고,"
, 단순생산직, 생산관리, 설비OP, QA, QC,  외            ",구매·자재·물류
(주)에프앤비네트웍스,경력무관,학력무관,경기 화성시,2022-06-08,2022-07-07,계약직,[동탄-채용대행]생산직/주간290만이상/교대330만이상/정착지원금,"
, 기계조작원, 단순생산직, 생산관리, 설비OP, 외관검사원,  외            ",구매·자재·물류
바다중공업(주),경력무관,학력무관,경남 김해시,2022-01-21,채용시,정규직,[사업 확장에 따른 충원] 각 분야 신입/경력 채용,"
, 관리회계, 기업회계, 법인결산, 자금관리, 회계결산,  외            ",구매·자재·물류
봄날창고,신입 · 경력,학력무관,인천 서구,2022-05-03,2022-07-10,정규직,[젊은분위기/워라밸/복지多] 물류 입출고 정직원 추가 채용,"
, 코팅, 물류관리, 자재관리, 재고관리, 창고관리,  외            ",구매·자재·물류
(주)디모아,신입 · 경력,학력무관,서울 용산구,2022-04-27,2022-07-10,정규직,[쌍방울그룹 계열사] 각 분야 채용공고,"
, 데이터엔지니어, 유지보수, SE(시스템엔지니어), 빅데이터, 클라우드,  외            ",구매·자재·물류
(주)이미인,경력무관,"대학(2,3년) 이상",경기 오산시,2022-05-12,2022-06-12,정규직,2022년 (주)이미인 각 부문 상시채용,"
, 지게차, 영업직, 해외영업, 연구원, R&D,  외            ",구매·자재·물류
(주)창성,신입 · 경력,대학교(4년) 이상,인천 남동구,2022-05-13,2022-06-12,정규직,2022년 신입 및 경력사원 수시채용 모집,"
, 계산서발행, 관리회계, 급여(Payroll), 기업회계, 법인결산,  외            ",구매·자재·물류
(주)태명실업,신입 · 경력,고졸 이상,서울 강남구,2022-05-17,2022-06-12,정규직,건축PC 시공(안전관리/공사관리) 신입/경력사원 채용,"
, 입고/입하, 출고/출하, 시공관리자, 안전관리자, 현장관리자,  외            ",구매·자재·물류
쥬씨(주),신입,학력무관,서울 성동구,2022-05-23,2022-06-22,정규직,과일사업팀 영업지원 직원채용,"
, 무역사무원, 영업관리, 영업지원, 영업MD, 거래처관리,  외            ",구매·자재·물류
삼영무역(주),신입 · 경력,고졸 이상,서울 마포구,2022-06-01,2022-06-14,정규직,"삼영무역㈜ 신입/경력사원 모집 (경영지원, 영업지원)","
, 경리, 경리사무원, 전산회계, 더존, 계산서발행,  외            ",구매·자재·물류
(주)희림종합건축사사무소,신입 · 경력,학력무관,서울전체,2022-06-04,2022-06-30,정규직 · 계약직,건축설계/모형제작/프로젝트관리팀/CM현장 채용,"
, 웹개발, 웹마스터, 퍼블리셔, 영상처리, 웹표준·웹접근성,  외            ",구매·자재·물류
(주)아이모비,신입,"대학(2,3년) 이상",경기 성남시 분당구,2022-06-03,2022-06-23,정규직,(주)아이모비 마케팅 및 영업지원 직무 신입 채용,"
, 기술영업, 영업관리, 영업지원, 영업직, 광고영업,  외            ",구매·자재·물류
(주)현대큐비클,신입 · 경력,"대학(2,3년) 이상",서울 성동구,2022-06-04,2022-06-16,정규직,현대큐비클과 함께 성장할 인재를 찾습니다.,"
, 문서작성, 사무행정, 서류관리, 자료입력, 자료조사,  외            ",구매·자재·물류
신양금속공업(주),신입 · 경력,"대학(2,3년) 이상",경기 안산시 단원구,2022-06-07,2022-06-14,정규직,신양금속공업㈜ SY EV solutions 각 부문 신입/경력사원 채용,"
, IR/공시, 더존, 4대보험, 계산서발행, 관리회계,  외            ",구매·자재·물류
(주)좋은이웃마트,경력,학력무관,경남 김해시,2022-06-07,2022-06-17,정규직,(주)좋은이웃마트 관리자(농산/청과/공산품) 경력사원 채용 공고,"
, 판매직, 매장관리, 대형마트, 물류관리, 유통관리,  외            ",구매·자재·물류
주식회사 하이엔드코리아,경력무관,학력무관,경북 구미시,2022-06-07,2022-06-13,계약직,[구미LG이노텍]대기업계약직/스마트폰부품/기숙사/통근차,"
, 임베디드, 기계조작원, 단순생산직, 생산관리, 외관검사원,  외            ",구매·자재·물류
(주)크린토피아,신입 · 경력,"대학(2,3년) 이상",경기 성남시 중원구,2022-06-07,2022-06-30,정규직,[본사] 기술팀 정규직원 채용,"
, 시설관리, A/S기사, 기계수리, 세탁, 기계조작원,  외            ",구매·자재·물류
(주)뉴키즈온,경력 1년↑,"대학(2,3년) 이상",서울 중구,2022-06-07,2022-06-19,정규직,[젤리스푼] 온라인쇼핑몰 MD/마케팅 직원 모집,"
, 사이트관리, 콘텐츠관리, 영업관리, 영업지원, 거래처관리,  외            ",구매·자재·물류
(주)한국미스미,신입 · 경력,고졸 이상,인천 서구,2022-06-07,2022-06-17,정규직,㈜한국미스미 LOGI 물류센터 현장직 모집,"
, 박스제조, 물류관리, 물류사무원, 재고관리, 물류기획,  외            ",구매·자재·물류
에스엠솔루션,경력무관,학력무관,경북 구미시,2022-06-07,2022-06-14,계약직,[구미LG이노텍]스마트폰 생산직 모집(지정등록업체),"
, 임베디드, 기계조작원, 단순생산직, 생산관리, 외관검사원,  외            ",구매·자재·물류
(주)오리엔트골프,신입 · 경력,학력무관,서울 서초구,2022-06-07,2022-06-19,정규직,[야마하 골프] 마케팅/디자이너/홍보/물류 채용,"
, 매장매니저, 고객응대, 마케팅기획, 마케팅전략, 블로그마케팅,  외            ",구매·자재·물류
