main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
디자인,PPT·인포그래픽,PPT,639,580,22000,33000,110000,729,"""크몽상위 1프로전문가"" 정보에 힘을 싣는 디자인 약속 드립니다.",올어바웃PPT,https://kmong.com/gig/66699
디자인,일러스트·캐리커쳐,캐리커쳐,1368,160,50000,120000,230000,174,"영업, 상업용 캐리커쳐 세련되고 깔끔하게 맞춤 제작해 드립니다.",디공,https://kmong.com/gig/23783
디자인,로고·브랜딩,로고디자인,649,371,242000,352000,462000,491,"""수준 높은 완성도""의 만족스러운 로고디자인을 드립니다.",DESIGNNOW,https://kmong.com/gig/63684
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,181,40,200000,300000,400000,202,리플렛   브로슈어   포스터 등 인쇄물 세련되게 작업해 드립니다.,spacemin,https://kmong.com/gig/93670
디자인,북·앨범디자인,북커버·내지,85,36,5000,100000,150000,170,PRIME 크몽 전문 10년차 디자이너가 북디자인 해 드립니다.,디좌이너,https://kmong.com/gig/303754
디자인,일러스트·캐리커쳐,상업용 일러스트,1021,777,30000,90000,300000,1091,감성적이고 아기자기한 일러스트를 그려 드립니다.,소보소보,https://kmong.com/gig/106162
디자인,공간디자인,3D도면·모델링,39,35,1000000,1500000,2000000,103,아이소 내외부 투시도   중대형 조감도 작업해 드립니다.,Waveworld,https://kmong.com/gig/57574
디자인,웹툰·캐릭터·이모티콘,웹툰·콘티,96,79,60000,80000,100000,131,기발한 상품광고부터 명확한 기업 홍보만화 웹툰까지 그려 드립니다.,닥터수제,https://kmong.com/gig/211889
디자인,웹툰·캐릭터·이모티콘,3D 캐릭터·그래픽,35,26,100000,200000,500000,156,3D 캐릭터 제품 모델링 및 렌더링 해 드립니다.,KIKIStudio,https://kmong.com/gig/174812
디자인,웹툰·캐릭터·이모티콘,2D 캐릭터,18,6,150000,280000,336000,18,prime  맞춤형 캐릭터로  홍보용 만화  웹툰 그려 드립니다.,애초,https://kmong.com/gig/134649
디자인,상세·이벤트 페이지,상세·이벤트 페이지,101,89,250000,400000,500000,239,기막힌 상세페이지를 제작해 드립니다.,심장이바운스,https://kmong.com/gig/270466
디자인,포토샵·파일변환,보정·누끼·합성,87,72,5000,10000,95000,39,"인물보정 전문, 웨딩, 프로필, 화보, 스냅사진 보정해 드립니다.",프롬딜라잇,https://kmong.com/gig/308823
디자인,웹·모바일 디자인,UI·UX디자인,310,155,385000,495000,605000,685,"트렌디하고, 감각적인 디자인으로 web, app 제작해 드립니다.",staccatovivace,https://kmong.com/gig/66657
디자인,블로그·SNS·썸네일,SNS·썸네일,817,89,7000,15000,25000,73,유튜브Youtube 영상 썸네일 등 작업 해 드립니다.,FreeCrown,https://kmong.com/gig/168042
디자인,웹툰·캐릭터·이모티콘,3D 캐릭터·그래픽,82,58,150000,300000,500000,123,3D 캐릭터 제품 게임 NFT 버츄얼 모델링 해 드립니다.,almighty,https://kmong.com/gig/124264
디자인,로고·브랜딩,브랜딩,3150,38,500000,1000000,1500000,212,"""만족 1위"" 로고 브랜딩 인쇄물까지 원스톱 서비스해 드립니다.",g9com,https://kmong.com/gig/173320
디자인,블로그·SNS·썸네일,블로그·카페,762,411,50000,130000,180000,332,고객만족도100 카페디자인 카페제작 카페대문배너 디자인 드립니다.,달리반피카소,https://kmong.com/gig/140327
디자인,포토샵·파일변환,보정·누끼·합성,31,23,5000,7000,10000,31,"웨딩보정,스냅보정,프로필보정,색감보정 만족스럽게 해 드립니다.",vinephoto,https://kmong.com/gig/253397
디자인,명함·인쇄·홍보물,전단·포스터·인쇄물,652,348,90000,240000,250000,787,"""고퀄리티 맞춤형"" 각종 편집 인쇄물 디자인 작업 해 드립니다.",담다디,https://kmong.com/gig/58229
디자인,북·앨범디자인,북커버·내지,51,31,6000,300000,600000,175,출판 북디자인 전문가가 책표지와 내지를 디자인 해 드립니다.,VF84,https://kmong.com/gig/150735
디자인,캘리그라피·폰트,캘리그라피,624,197,10000,가격 없음,가격 없음,155,전문 캘리그라피 작가가 캘리그라피 작업 해 드립니다.,탑캘리그라피,https://kmong.com/gig/12125
디자인,포토샵·파일변환,보정·누끼·합성,1180,1041,7000,15000,60000,321,"사진보정 웹화보,프로필,룩북,스냅,복원,해상도 개선해 드립니다.",maruhand,https://kmong.com/gig/100968
디자인,캘리그라피·폰트,사인·직인,3266,1539,20000,40000,60000,717,멋있는 한글싸인 만들어 드립니다.,지상봉,https://kmong.com/gig/630
디자인,로고·브랜딩,로고디자인,67,40,180000,420000,650000,217,17년차 PROCREATOR 브랜드 로고디자인 해 드립니다.,무스터,https://kmong.com/gig/125945
디자인,북·앨범디자인,북커버·내지,584,43,400000,450000,1000000,122,"""바르고 슬기로운"" 북커버와 패키지 만들어 드립니다.",hartbak,https://kmong.com/gig/105431
디자인,명함·인쇄·홍보물,명함디자인,584,375,80000,110000,250000,697,"""이상하고 아름다운"" 명함과 인쇄물 만들어 드립니다.",hartbak,https://kmong.com/gig/105557
디자인,웹·모바일 디자인,UI·UX디자인,68,39,2000000,3000000,5000000,439,해외수상경력의 디자이너그룹이 최고의 웹사이트를 디자인해 드립니다.,amonde,https://kmong.com/gig/185470
