main,title,period,duration of work,workplace,type,tag,expert,url
전문가,자사 신서비스 런칭 마케팅 자문,6/18/2020, 1개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","G-Suite, groupware, hr, marketing",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1377
전문가,난청치료(청력개선)용 디지털신약 보급 건,6/17/2020, 1개월 이내,협의/기타,"4일/월 기준 비상근, 매주 진행상황 보고 및 월 2회 미팅","신사업, 투자유치, 빅데이터, b2b, 의료기기, 인공지능, 플랫폼, 투자, 바이오, 헬스케어",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1411
영업/구매/유통,유럽 물류창고 선정 및 세팅 자문,6/16/2020, 1주일 이내,회사 (서울특별시  마포구),"총 1회, 3시간 자문","물류, 창고, 유통, 유럽, 배송, 물류창고, 수출입, 관세","물류/유통, 해외영업/무역 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1439
전문가,중견 건축자재 제조시공사 영업,6/15/2020, 6개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","건축자재, 건축, 내외장재, 건축영업, 시공영업",제안받으신 전문가님 94명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1395
전문가,중견 건축자재 제조시공사 시공관리,6/15/2020, 6개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","건축시공, 시공관리, 내외장재시공, 건축자재",제안받으신 전문가님 49명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1396
영업/구매/유통,건강식품/용품 온라인 유통 업체 해외 수출 및 온라인 판매 전략,6/15/2020, 1주일 이내,협의/기타,단기자문 (협의 가능),"방역제품, 해외수출, 온라인마케팅전략, 건강제품, 판로개척","해외영업/무역, 온라인마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1397
마케팅,아마존 제품 판매 리스팅,6/15/2020, 1개월 이내,협의/기타,"주 2일 회사근무, 협의","md, 상품, 리스팅, 온라인쇼핑몰, 이커머스, 아마존, 지마켓","온라인마케팅, 마케팅전략/브랜딩, B2C영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1407
전문가,디스플레이 산업변화에 따른 사업전략 컨설팅,6/15/2020, 3개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","디스플레이, 기존제품마케팅전략, 중국, 매출확대, 자사제품표준spec화",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1412
경영전략/신사업,선박용 엔진부품 해외 영업(싱가포르),6/15/2020, 6개월 이내,협의/기타,협의,"선박, 엔진부품, 해외영업, 싱가포르, 선주, 비지니스영어","경영전략/신사업, 영업/구매/유통, 생산/제조, 연구개발/설계 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1418
IT,중견 IT전문회사 제안서 총괄급 팀장 ,6/15/2020, 3개월 이내,회사 (서울특별시  구로구),"풀타임 상근(주5일, 09:00~18:00)","it제안서, 정책과제, it보안","PM, 서비스기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1441
