main,title,period,duration of work,workplace,type,tag,expert,url
전문가,공유 오피스 운영 및 마케팅 전문가 모집의 건,7/1/2022, 6개월 이내,회사 (경기도  부천시),"대면, 주 1~2회 (협의후 결정)","공유오피스, 부동산, 임대",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7834
경영전략/신사업,블록체인 및 web3.0 사업전략 컨설팅 전문가 채용건,6/27/2022, 6개월 이내,회사 (서울특별시  강남구),상근 근무,"블록체인, 사업기획, 사업전략, 플랫폼, 플랫폼서비스, 웹3.0, it사업컨설팅, it","신규사업/BD, 경영전략/관리, 경영혁신/PI, PM, 서비스기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7871
IT,쇼핑몰 구축 및 ERP 연동 시스템 구축 전문가 모집 건 ,6/27/2022, 3개월 이내,자택,재택근무,"온라인쇼핑몰, 모바일쇼핑몰, 개발, 온라인쇼핑몰구축, 플랫폼구축","PM, 서비스기획, 서버개발/앱개발, GUI (UI/UX), 빅데이터/AI 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7843
Other,"종합건설사의 현장소장, 안전관리 전문가 모집",6/30/2022, 6개월 이상,협의/기타,협의,"건설회사, 현장소장, 안전관리, 건설현장관리, 해외건설현장관리",건설회사외 4개태그,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7899
엔지니어링,"전기차 개발(설계 포함) 관련하여 조언, 제안, 교육 등 전반 자문 전문가 모집",6/30/2022, 6개월 이내,협의/기타,협의,"전기차개발, 전기차교육, 전기차설계, 전기자동차, 파웨트레인, 배터리, 전장설계",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7898
엔지니어링,의류 인터넷 쇼핑몰 운영 업체의 ASP 기반 온라인 쇼핑몰 개발 및 유지 보수 전문가 모집,6/20/2022, 6개월 이내,회사 (경기도  용인시 기흥구),"대면, 주 1~2회 (협의후 결정)","인터넷쇼핑몰, 의류판매, 온라인몰, asp, 검색","6명의 전문가님, 서버개발/앱개발, PM, 시스템엔지니어, 서비스기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7868
영업/구매/유통,영상분석 솔루션 해외(미국)홍보 및 파트너쉽 구축,7/1/2022, 6개월 이상,협의/기타,협의,"영상솔루션, 미국사업진출, 미국, 영상분석","2명의 전문가님, B2B영업, 해외영업/무역, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7892
경영전략/신사업,투자유치를 위한 IR 자료 작성 ,6/27/2022, 3개월 이내,협의/기타,재택 및 대면 ,"경영기획, ir자료작성, 기업투자유치, 투자유치제안서, 기업ir, ir전략수립, 사업계획서","8명의 전문가님,경영기획외 6개태그",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7884
엔지니어링,종합건설사 전문 Advisory,6/20/2022, 3개월 이내,회사 (서울특별시  강남구),오전 9시 ~ 오후 6시30분 상주 근무,"건설사경영관리, 건설프로젝트관리, 건축설계기획, 종합건설, 건설하도급, 건설사업관리, 건설사업개발, 사업타당성조사",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7813
재무/투자,신규사업(온라인 극장관) 전개를 위한 초기 투자유치,6/27/2022, 6개월 이내,협의/기타,협의가능 (주 1 ~ 2회 On-site 미팅),"벤처투자유치, 스타트업투자, 투자유치제안서, 시드투자, 투자유치",투자/IPO 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7849
영업/구매/유통,Ecommerce warehouse integration project manager,7/1/2022, 6개월 이상,회사 (서울특별시  강남구),"협의, 주 5일 근무 예상","WAREHOUSE, ecommerce, 3pl, oms, wms, 재고관리, 오더관리, 반품관리, erp","IT, 물류/유통 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7742
Other,"교육사업 온라인, 레거시 시스템의 DB통합 설계 및 모델링",7/1/2022, 6개월 이내,회사 (서울특별시  서초구),"협의, Full-time 예상","데이타베이스, database, oracle, mssql, maria, postgresql, db통합, DB모델링, dw, AWS",IT 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7811
Other,주니어 IT개발자 아카데미 전문가(INSTRUCTOR),7/1/2022, 6개월 이내,회사 (서울특별시  강남구),협의,"java, javascript, jsp, spring, azure, jenkins, instructor",IT 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7824
마케팅,"외식컨설팅 기업의 영업기획, 영업사원모집/교육/관리, 영업체계구축",7/1/2022, 6개월 이내,협의/기타,협의,"외식업, 자영업, 메뉴개발, 업종변경, 신규창업, 식당, 요리컨설팅, 외식컨설팅, 프랜차이즈, 회원제","B2C영업, 상품기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7839
전문가,쉬플리세일즈컨설팅팀 BD매니저,7/1/2022, 6개월 이내,협의/기타,협의,세일즈컨설팅,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7895
영업/구매/유통,천연 기능성 식품(화장품)원료 영업 관련 자문을 위한 전문가 모집의 건,7/1/2022, 6개월 이내,회사 (경기도  성남시),월 2회 미팅(대면 & 비대면)-협의에 따라 조정 가능,"식품, 원료, 영업, 화장품, 천연, 해외, 국내, 소재","B2B영업, 물류/유통, 해외영업/무역 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7146
영업/구매/유통,미국 및 유럽 글로벌 브랜드 건설장비 업체 구매담당자 연결,6/27/2022, 1주일 이내,협의/기타,협의,"건설장비, 부품구매, 건설장비수출, 건설장비부품수출, 건설기자재, 해외구매, 해외영업",해외영업/무역 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7687
Other,엔지니어링 분야 중국어 통역 : 플랜트 설치 및 관련 중국측 엔지니어와 협의 등 전반,6/27/2022, 1개월 이내,회사 (부산광역시  강서구),"1달간(25일) 현장 통역, 기술미팅","중국어통역, 플랜트설비, 통역, 엔지니어링, 중국어",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7743
전문가,매출 증대를 위한 온라인 마케팅 단기 자문,6/27/2022, 3개월 이내,회사 (대구광역시  동구),"주2회 Onsite(회당 Max. 1.5시간), 주2회 재택근무 , 대구본사 방문 3회",온라인마케팅,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7758
재무/투자,온라인투자 연계금융 여신서비스 자문,6/27/2022, 1개월 이내,협의/기타,대면미팅 및 재택근무,"은행대출, 여신심사, p2p대출, 금융상품기획, 금융상품전략","Other, 재무/투자 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7854
경영전략/신사업,공유킥보드 서비스 업체의 비즈니스 확장을 위한 전문가 모집의 건,6/27/2022, 3개월 이내,회사 (경기도  성남시 분당구),"대면, 주 1~2회 (협의후 결정)","프랜차이즈, 영업조직, 가맹점관리","1명의 전문가님, 신규사업/BD, B2B영업, 마케팅전략/브랜딩, B2C영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7858
엔지니어링,제조업 자재창고 관리 시스템 혁신 전문가,6/27/2022, 3개월 이내,회사 (대구광역시  달성군),2~3일 /주 (Full Time 근무),"자재관리시스템, 재고관리, 자동화창고, 물류관리, 구매조달, 조달구매, 구매관리시스템, 통합구매관리","생산/제조, 물류/유통 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7866
엔지니어링,생산 및 공정관리 전문가,6/27/2022, 3개월 이내,회사 (대구광역시  달성군),2~3일/주 (Full Time 근무),"생산관리, 공정관리, 생산운영",생산/제조 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7867
인사/총무,인사 및 조직 전반에 대한 분석 및 자문,6/27/2022, 3개월 이내,협의/기타,협의,"인사제도수립, 조직관리","인사, 총무 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7879
Other,드라이브 쓰루 호텔 신축 시공 및 인테리어시공 전문가(현장 소장) 모집,6/22/2022, 6개월 이내,협의/기타,협의,"시공, 현장소장, 드라이브쓰루호텔, 건축시공, 호텔, 시공관리, 모텔건축, 주거공간",시공외 7개태그,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7878
Other,"치과용 의료기기, 입천장을 확장하는 구개확장장치 개발 전문가",6/21/2022, 6개월 이상,협의/기타,협의,"정밀기계, 금속정밀공학, mim, 의료기기, 제품개발, 설계엔지니어, 엔지니어링, 소결, 압출, 기계공학",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7825
재무/투자,투자 유치 전문가 모집 건 ,6/20/2022, 3개월 이내,협의/기타,주2회 근무(재택근무) 및 필요 시 부산 본사 방문 미팅,"투자, 기업투자유치, 금광물","1명의 전문가님, 투자/IPO, 재무/회계/자금, 경영전략/관리 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7719
엔지니어링,재생소재 분야 임원급(CTO or COO) 채용 ,6/20/2022, 6개월 이상,회사 (대전광역시  유성구),정규직 채용(CTO or COO),"화학, 화공, 고분자소재, cto, 재생소재, coo, 생산관리, 사업개발, 기술영업","연구개발/설계, 생산/제조, 품질/안전, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7772
엔지니어링,엑셀 프로그램 전문가 모집 건 ,6/20/2022, 3개월 이내,자택,재택근무 (필요 시 방문),"엑셀프로그램, 엑셀, 엑셀관리, 엑셀자동화, 프로그램개발, 보고자료, 대시보드, 보고서","서버개발/앱개발, 빅데이터/AI, 시스템엔지니어, PM, 경영전략/관리 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7809
경영전략/신사업,인쇄 전문 기업의 생산성 개선 자문 전문가 모집 건  ,6/20/2022, 3개월 이내,협의/기타,방문 및 재택근무,"생산, 원가, 원가관리, 경영개선, 경영관리, 생산효율화, 생산성향상","경영혁신/PI, 경영전략/관리, 원가관리, 재무/회계/자금, 생산/제조 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7826
마케팅,피자 패키지 디자인 전문가 모집 건,6/17/2022, 3개월 이내,자택,재택근무,"상품패키지기획, 브랜드패키지디자인, 신규제품디자인기획, 디자인","2명의 전문가님, 상품기획, 마케팅전략/브랜딩, 홍보/PR 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7685
마케팅,마케팅 전략/기획/브랜딩 전반 자문,6/16/2022, 3개월 이내,협의/기타,협의,마케팅,마케팅전략/브랜딩 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7846
전문가,3D 프로파일센서 제품 검사개발,6/14/2022, 3개월 이내,협의/기타,협의,3d활용,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7797
Other,정규직 채용 : 공장 운영 및 생산관리(계획 및 실적 관리 실무 포함),6/14/2022, 6개월 이상,회사 (경기도  양주시),정규직 채용(부장급),"금속, 방화문, 생산관리, 공장운영, 금속가공, 엔지니어링",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7804
전문가,원단 해외 및 국내 영업 관련 전문가 자문의 건,6/13/2022, 3개월 이내,회사 (서울특별시  강남구),"대면, 주2회, 회당 4시간, 총 30회 자문",원단영업,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7722
재무/투자,신규사업(B2B 통합플랫폼 구축) 확장을 위한 투자유치,6/13/2022, 6개월 이내,협의/기타,원격 근무 (격주 1회 On-Site 미팅),"벤처투자유치, 투자유치제안서, 투자컨설팅, 투자유치조언, 투자유치, 스타트업투자",투자/IPO 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7744
전문가,탄산음료 병입기 자동화 개조,6/13/2022, 1개월 이내,협의/기타,협의가능,"식품공정, 식품공정설계, 주류제조, 식품공정설비","3명의 전문가님, 엔지니어링 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7750
엔지니어링,전기/전자제품 신뢰성 평가 체계를 수립하기 위한  전문가 모집,6/13/2022, 6개월 이상,회사 (경기도  화성시),"대면, 주 2~3회 (협의후 결정)","신뢰성평가, 의료기기, 수명시험, 내구성, alt, 평가, 시험","연구개발/설계, 품질/안전, 생산/제조, 공장신축, 기술/특허 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7760
IT,#NAME?,6/13/2022, 1개월 이내,협의/기타,협의,"신규사업, 기획, 웹서비스, 서비스플랫폼구축기획, 서비스기획, 스타트업, app기획",서비스기획 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7768
재무/투자,스타트업 투자유치 실무 전문가,6/13/2022, 3개월 이내,협의/기타,"주1회 비대면 미팅 (회당 2시간) , 수시 전화통화","vc투자유치, 기업투자유치, 벤처투자유치, 벤처캐피털, 스타트업투자, 투자유치",투자/IPO 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7771
재무/투자,PEF 운용사 신규 펀드 조성 관련 IM 작업 프로젝트,6/13/2022, 3개월 이내,협의/기타,협의,"im, ir투자, pef, 사모펀드, 투자설명서","투자/IPO, 재무/회계/자금, M&A/PMI, 경영전략/관리, 신규사업/BD 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7269
전문가,대기오염방지시설(집진기) 용량 설계 및 제작도면 설계,6/13/2022, 6개월 이상,협의/기타,협의,"집진기, 환경기술, 대기오염방지","1명의 전문가님, 엔지니어링 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7789
경영전략/신사업,신제품 원가 절감을 위한 원가 관리 전문가 모집 건 ,6/13/2022, 3개월 이내,회사 (경기도  안산시),방문 미팅 및 재택 근무,"원가, 원가절감, 신제품, 생산설비, 원가관리, 원가경쟁력","신규사업/BD, 경영전략/관리, 재무/회계/자금, 원가관리 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7803
경영전략/신사업,폐인산 비즈니스 추진 관련 자문을 위한 전문가 모집,6/13/2022, 1개월 이내,회사 (경기도  광명시),"대면, 2회 (회당 4시간) - 단기 자문","폐인산, 재처리, 환경, 폐기물, 수처리, 폐수","1명의 전문가님, 신규사업/BD, 생산/제조, 품질/안전, 연구개발/설계, 정부지원사업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7808
경영전략/신사업,"식자재공급관련, 신사업 전략 전문가 모집 건 ",6/13/2022, 3개월 이내,협의/기타,방문 미팅(주1회 내방(2시간 정도) 및 전략회의 참석)  및 재택근무,"식자재, 식품, 식자재공급, 식품유통, 신규사업","신규사업/BD, 경영전략/관리, B2B영업, 마케팅전략/브랜딩, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7812
IT,여행관련 App 서비스 플랫폼 서비스 사업 컨설팅,6/13/2022, 3개월 이내,협의/기타,협의,"서비스매뉴얼개발, 플랫폼사업운영, 모바일플랫폼, 여행플랫폼, 플랫폼운영, 해외여행플랫폼, 플랫폼서비스운영팀, 플랫폼cs팀운영",서비스기획 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7832
인사/총무,인사 평가 교육 전문가,6/9/2022, 1주일 이내,회사 (서울특별시  서초구),1일 단기 교육,"인사평가, 교육",인사 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7815
전문가,수소연료 자동차용 솔레노이드 밸브 개발 ,6/7/2022, 6개월 이상,협의/기타,"주 1~2회 대면미팅, 그 외 재택 및 화상회의","솔레노이드, 수소고압가스, 밸브, 수소연료, 수소발전","1명의 전문가님, 엔지니어링 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7714
전문가,개별인정형 건강기능식품 소재 개발자 (프로젝트 혹은 채용),6/7/2022, 6개월 이상,협의/기타,대면 및 재택,"건식, 제약개발부문, 제약연구소, 건강기능식품, 건강식품, 제약바이오, 바이오기술","7명의 전문가님,건식외 6개태그",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7755
Other,신규 사업 모델 수립을 위한 시장조사/리서치 전문가,6/7/2022, 1개월 이내,협의/기타,협의,"시장조사, 리서치, 서비스플랫폼구축기획, 플랫폼사업, 마케팅, 상품기획",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7757
재무/투자,SPC 설립자금 투자(사모펀드) 전문가 : 재생에너지 사업,6/7/2022, 6개월 이내,협의/기타,협의,"spc, 사모펀드, 투자유치, 벤처투자유치, 재무, vc","투자/IPO, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7759
전문가,데코시트 산업 전문가 자문,6/7/2022, 1주일 이내,회사 (서울특별시  강남구),2시간 대면자문,데코시트,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7778
엔지니어링,"린 시스템 운영 전문가 / 공장통합운영에 필요한 생산시스템 구축,운영 전문가 모집건",6/7/2022, 6개월 이상,회사 (부산광역시 기타),회사 근무 (근무일수는  협의 후 결정) ,"린시스템, 공장운영, 생산관리, 공장관리, 신규공정","공장신축, 생산/제조, 품질/안전, 경영전략/관리, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7781
Other,FEMS(공장 에너지 관리 시스템) 사업관련 전반적인 사항들에 대한 자문 전문가 모집,6/7/2022, 3개월 이내,협의/기타,협의,"자문, 공장에너지관리시스템, fems",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7798
전문가,블루투스 컨트롤러 관련 컨설팅(Ⅲ),6/7/2022, 3개월 이내,회사 (경기도  수원시 영통구),"대면, 주 1회 , 회당 3시간 , 총 8회",블루투스,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7810
Other,중소벤처기업 자금조달 & 투자 유치관련 전문가 모집,6/7/2022, 6개월 이내,협의/기타,월 2~3회 미팅 (정기 리포팅 포함),"자금조달, 기업투자유치, 투자유치조언, 벤처투자유치, 은행투자, 투자유치제안서, 스타트업투자",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7571
영업/구매/유통,중국 무역(TV완제품 수입) 총괄,6/6/2022, 6개월 이상,회사 (서울특별시  용산구),주5일 상근 ,"중국, 수입, 무역, 글로벌, 구매, 해외구매, 가전","해외영업/무역, 구매, 물류/유통, 원가관리, 재무/회계/자금 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7761
영업/구매/유통,영업 전문가 : 식자재 가공을 통한 사업을 진행하는 업체의 매출 감소타계와 매출 활성화,6/3/2022, 6개월 이내,협의/기타,협의,"국내유통영업, 영업확대, 온라인매출증대, 유통상품기획, 식자재가공","B2C영업, 물류/유통, 상품기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7752
엔지니어링,공기청정기 도면설계-샘플제작 전문가 모집 건 ,6/2/2022, 3개월 이내,협의/기타,협의 후 결정,"도면설계, 설계, 샘플, 공기청정기, 샘플제작","연구개발/설계, 생산/제조, 품질/안전, 제품/공간디자인, 상품기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7713
전문가,층간 소음 차단제 생산을 위한 투자 유치 관련 자문의 건,6/2/2022, 1개월 이내,회사 (충청북도  음성군),"대면, 2회 (회당 2시간)",투자유치,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7739
영업/구매/유통,"B2B (자동차/타이어용 윤활제, 이형제) 영업실무 수행 전문가 (채용전환 고려)",6/1/2022, 6개월 이내,협의/기타,"주1회 화상미팅, 필요시 대면미팅(본사) 및 주로 영업활동 외근","자동차부품, 타이어scm","B2B영업, 물류/유통, 구매, 생산/제조, 연구개발/설계 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7729
재무/투자,RV 제조업체 라인 증설 및 생산 안정화를 위한 투자 유치,6/1/2022, 3개월 이내,회사 (경기도  평택시),"대면, 주 1~2회",투자유치,"10명의 전문가님, 투자/IPO 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7751
영업/구매/유통,LED lamps 해외 수출,6/1/2022, 3개월 이내,자택,Kick-Off 대면 미팅이후 주로 재택근무 함.,"도소매, 베트남, 오토바이, 인도네시아수출, 동남아수출, 북미, 유럽시장","6명의 전문가님, 영업/구매/유통 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7129
인사/총무,"그룹웨어 소프트웨어 도입, 구입 경험 단기자문(1시간)",5/30/2022, 1주일 이내,협의/기타,1시간 화상자문,"그룹웨어, groupware, 소프트웨어, software, sw도입, sw구입, 더존, 다우오피스, 가온아이, 핸디소프트","IT, 총무, 구매, 인사 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7715
Other,일본 블루투스 이어폰 브랜드 국내 출시를 위한 시장 조사 전문가 모집,5/30/2022, 3개월 이내,협의/기타,협의,시장조사,시장조사/데이터분석 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7725
전문가,해외 영업 전략 구축 전문가 모집 건,5/27/2022, 6개월 이상,회사 (서울특별시  강남구),주1회 방문 미팅 및 재택 근무,검사계측솔루션,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7765
전문가,신제품 개발 프로세스 구축 제안,5/27/2022, 1개월 이내,협의/기타,방문 및 재택 근무,유아용품,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7787
경영전략/신사업,전국 부동산 임차 계약 정보 전문가 모집 건 ,5/26/2022, 1개월 이내,자택,재택근무 및 필요 시 방문 미팅,"부동산, 부동산정보, 부동산임대차, 건물임대, 임대차계약","경영전략/관리, 총무, 재무/회계/자금, 원가관리, 일반법무 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7712
전문가,커피(프랜차이즈) 전문가 자문의 건,5/25/2022, 1주일 이내,회사 (서울특별시  강남구),"대면, 1회 (3시간)","프랜차이즈, 커피, 바리스타, 커피전문점",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7718
엔지니어링,컴파운드 제조사 생산관련 자문,5/23/2022, 3개월 이내,협의/기타,대면 및 재택,"생산관리, 설비관리, 생산설비, 컴파운드, 공장자동화, 재고관리, 생산관리시스템","6명의 전문가님,생산관리외 6개태그",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7691
마케팅,화장품연구개발전문가 채용 건,5/23/2022, 6개월 이상,협의/기타,자택근무 및 회사 근무,"화장품, 화장품연구개발, 화장품상품기획, 화학, 연구개발, 상품기획, 코스메틱, 제주도","상품기획, 마케팅전략/브랜딩, 연구개발/설계, 생산/제조 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7702
전문가,"네일샵 전용 젤네일 제품 수출 영업(에이전시 발굴, 수출성사) - 2",5/23/2022, 3개월 이내,협의/기타,"주 1회 정기미팅(대면, 화상, 전화등등)","젤네일, 해외수출",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7721
영업/구매/유통,"네일샵 전용 젤네일 제품 수출 영업(에이전시 발굴, 수출성사)",5/23/2022, 6개월 이상,협의/기타,"주 1회 정기미팅(대면, 화상, 전화등등)","네일젤, 네일샵, 네일아트, 뷰티, 화장품, 수출영업, 총판, 대리점, 해외수출","B2B영업, 해외영업/무역, 온라인마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7640
재무/투자,해외 M&A 전문가 : 해외 업체에 회사를 매각 합니다. 반드시 해외에 업체 매각 유경험 ,5/23/2022, 6개월 이내,협의/기타,협의,"m&a, Finance, 기업매각","재무/회계/자금, M&A/PMI 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7641
전문가,부동산 임대 서비스업 투자 유치를 위한 전문가 모집의 건,5/23/2022, 3개월 이내,회사 (서울특별시  강남구),대면 & 비대면,"투자유치, ir, 자금조달",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7648
Other,온라인기반의 여행사 플랫폼 구축 및 개발,5/23/2022, 6개월 이내,협의/기타,협의가능,"온라인여행플랫폼, 항공여행온라인플랫폼, 플랫폼개발, 플랫폼구축, 플랫폼api분석, 소프트웨어개발, 플랫폼유지보수",모든 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7654
마케팅,브랜드 마케팅 전문가 자문,5/23/2022, 6개월 이내,협의/기타,협의,"브랜딩, 브랜드마케팅",마케팅전략/브랜딩 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7664
인사/총무,"부동산 관련기업의 영업팀 채용, 리쿠르팅",5/23/2022, 3개월 이내,회사 (서울특별시  광진구),주 3일 근무,"채용, 리쿠르팅, hrm, 영업조직구성, 세일즈, 리쿠르터","인사, 교육, 총무 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7677
법무/대정부,기업부설 연구소 및 벤처인증(특허 포함) 진행 전문가 모집,5/20/2022, 3개월 이내,협의/기타,"주1회 근무 : 1회, 4시간근무(현장, 사무실 및 온라인미팅), 총 5주","기업부설연구소, 벤처인증",기술/특허 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7657
영업/구매/유통,인쇄물 및 패키지 제작 : 영업 확대를 위한 전문가 모집,5/19/2022, 6개월 이상,협의/기타,"- 주 1회 화상회의 영업보고 및 리포트 제출,  월 2회 대면회의 및 리포트 제출","인쇄물, 패키지제작, 영업, 건강식품, 공공기관마케팅, package, 코스메틱, 홍보전단지만들기, 브랜드패키지디자인","B2B영업, B2C영업, 해외영업/무역 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7353
전문가,중소기업 ISMS 인증 준비를 위한 자문의 건,5/18/2022, 1주일 이내,회사 (서울특별시  강남구),"대면, 1회 (2시간)",isms,제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=7614
경영전략/신사업,커피 프랜차이즈 사업 자문 (4시간),5/18/2022, 1주일 이내,회사 (서울특별시  서초구),4시간 자문,"커피, 프랜차이즈, 저가커피, 프랜차이즈물류, 메뉴개발","신규사업/BD, B2C영업 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7615
경영전략/신사업,"이커머스 기업의 동남아시아 (싱가포르, 인도네시아) 해외법인설립 자문",5/18/2022, 1개월 이내,회사 (서울특별시  강남구),"협의, 2~3시간 이내 대면 단기자문 (횟수 미정)","해외법인설립, 싱가포르, 인도네시아, 이커머스, 엔터테인먼트, 법인장, 동남아시아","신규사업/BD, 해외영업/무역, Other, 일반법무 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7678
엔지니어링,화장품 생산(외주)관리 / 경영 및 생산혁신 /프로세스 혁신 전문가 모집,5/17/2022, 3개월 이내,협의/기타,회사(강원) 주 1 ~ 2회 대면근무 (협의가능),"제조혁신, 경영혁신, 외주생산, 화장품제조, 화장품생산외주관리, 프로세스혁신, 생산성향상, 생산혁신, 외주관리, 외주관리프로세스","생산/제조, 원가관리, 경영혁신/PI, 구매 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7643
재무/투자,준법감시인 채용 건 ,5/16/2022, 6개월 이상,회사 (경기도  성남시 분당구),회사 근무,"준법감시인, 금융, 은행, 투자, 준법감시","재무/회계/자금, 투자/IPO, 세무, 경영전략/관리 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7645
엔지니어링,IT운영 매니저 채용 건 ,5/16/2022, 6개월 이상,회사 (서울특별시  영등포구),상근 근무,"it, 전산관리, 네트워크, 서버관리, 시스템운영, erp, 전산","PM, 서버개발/앱개발, 시스템엔지니어, 연구개발/설계, 서비스기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=7655
