expert,skills
chh2**,품질/안전
hoop19**,연구개발/설계
hoop19**,품질/안전
hoop19**,교육
hoop19**,원가관리
hoop19**,생산/제조
skt031**,경영전략/관리
skt031**,신규사업/BD
skt031**,마케팅전략/브랜딩
skt031**,온라인마케팅
skt031**,B2C영업
ChemPlantExper**,공장신축
ChemPlantExper**,경영전략/관리
ChemPlantExper**,원가관리
tangokim1**,엔지니어링
tangokim1**,경영전략/신사업
tangokim1**,Other
Kimbc**,재무/투자
kongro**,인사/총무
kongro**,경영전략/신사업
kongro**,Other
lonetig**,경영전략/신사업
lonetig**,마케팅
lonetig**,IT
leedow**,IT
leedow**,경영혁신/PI
leedow**,원가관리
greg12**,경영전략/신사업
greg12**,마케팅
kspirits**,재무/투자
kspirits**,경영전략/신사업
kspirits**,IT
galli1**,Other
galli1**,교육
galli1**,인사
brandver**,마케팅전략/브랜딩
brandver**,제안서/편집디자인
brandver**,신규사업/BD
brandver**,제품/공간디자인
brandver**,홍보/PR
unim**,경영전략/신사업
unim**,IT
unim**,엔지니어링
psjl**,경영전략/신사업
psjl**,영업/구매/유통
psjl**,엔지니어링
psjl**,마케팅전략/브랜딩
psjl**,재무/회계/자금
ash33**,해외영업/무역
ash33**,경영전략/관리
ash33**,구매
ash33**,재무/회계/자금
ash33**,B2B영업
cjoexpe**,재무/회계/자금
cjoexpe**,투자/IPO
cjoexpe**,경영전략/관리
cjoexpe**,신규사업/BD
drgn11**,경영전략/신사업
drgn11**,디자인/패션
value**,마케팅
value**,경영전략/신사업
music**,Other
music**,경영전략/신사업
music**,법무/대정부
oncyb**,경영전략/신사업
oncyb**,IT
pine3**,엔지니어링
pine3**,Other
pine3**,신규사업/BD
happid**,마케팅
jonk**,경영전략/관리
jonk**,신규사업/BD
jonk**,경영혁신/PI
jonk**,B2B영업
jonk**,Other
samdol**,경영전략/신사업
samdol**,재무/투자
spec**,재무/투자
spec**,경영전략/신사업
spec**,Other
910216**,경영전략/신사업
910216**,마케팅
910216**,인사
910216**,물류/유통
910216**,원가관리
591122skl**,영업/구매/유통
591122skl**,경영전략/신사업
mikeko**,인사/총무
magick**,경영전략/신사업
magick**,IT
magick**,마케팅
magick**,B2B영업
magick**,투자/IPO
sbk9**,경영전략/신사업
sbk9**,엔지니어링
sbk9**,영업/구매/유통
swtho**,재무/투자
hdsan**,엔지니어링
hdsan**,교육
hdsan**,경영전략/관리
cloudss**,경영전략/신사업
cloudss**,재무/투자
cloudss**,법무/대정부
cloudss**,PM
cloudss**,인사
simple7**,인사/총무
RMC11**,경영전략/신사업
RMC11**,IT
RMC11**,Other
RMC11**,제품/공간디자인
kimrus**,법무/대정부
kimrus**,경영전략/신사업
kimrus**,교육
kimrus**,마케팅전략/브랜딩
sookh0**,재무/투자
sookh0**,경영전략/신사업
danny66**,해외영업/무역
danny66**,B2B영업
danny66**,구매
danny66**,경영전략/관리
danny66**,신규사업/BD
mpark9**,인사/총무
yskhan**,경영전략/신사업
yskhan**,인사/총무
yskhan**,마케팅
bejin3**,신규사업/BD
bejin3**,투자/IPO
bejin3**,경영혁신/PI
bejin3**,정부지원사업
bejin3**,일반법무
leo70**,Other
blindc**,상품기획
blindc**,시장조사/데이터분석
blindc**,물류/유통
blindc**,마케팅전략/브랜딩
blindc**,구매
hdpark57**,경영전략/신사업
hdpark57**,Other
4u1**,IT
4u1**,물류/유통
4u1**,B2C영업
4u1**,B2B영업
4u1**,구매
bjin85**,재무/회계/자금
bjin85**,원가관리
bjin85**,투자/IPO
bjin85**,세무
bjin85**,경영전략/관리
jyga**,경영혁신/PI
jyga**,생산/제조
jyga**,경영전략/관리
jyga**,연구개발/설계
jyga**,품질/안전
png0**,구매
ken7m**,신규사업/BD
ken7m**,경영전략/관리
ken7m**,온라인마케팅
ken7m**,경영혁신/PI
ken7m**,마케팅전략/브랜딩
mski**,재무/회계/자금
mski**,경영전략/관리
mski**,해외영업/무역
mski**,투자/IPO
mski**,M&A/PMI
Stranger**,투자/IPO
Stranger**,재무/회계/자금
Stranger**,신규사업/BD
Stranger**,경영전략/관리
Stranger**,M&A/PMI
ohhees**,재무/회계/자금
ohhees**,인사
ohhees**,구매
ohhees**,투자/IPO
ohhees**,세무
likesky5**,경영전략/신사업
likesky5**,인사
likesky5**,상품기획
likesky5**,PM
likesky5**,연구개발/설계
shin**,경영전략/관리
shin**,신규사업/BD
shin**,B2B영업
jc00**,경영전략/관리
jc00**,경영혁신/PI
jc00**,신규사업/BD
jc00**,마케팅전략/브랜딩
jc00**,시장조사/데이터분석
onery**,재무/회계/자금
onery**,경영전략/관리
onery**,인사
onery**,원가관리
onery**,M&A/PMI
hailey06**,경영전략/신사업
hailey06**,마케팅
hailey06**,투자/IPO
peterchanseokju**,경영전략/신사업
peterchanseokju**,B2B영업
peterchanseokju**,물류/유통
peterchanseokju**,해외영업/무역
peterchanseokju**,일반법무
chil**,PM
chil**,신규사업/BD
chil**,경영전략/관리
chil**,온라인마케팅
chil**,정부지원사업
arangm**,경영전략/관리
arangm**,시장조사/데이터분석
arangm**,구매
arangm**,마케팅전략/브랜딩
arangm**,품질/안전
kazel1**,투자/IPO
kazel1**,재무/회계/자금
kazel1**,원가관리
kazel1**,경영전략/관리
kazel1**,M&A/PMI
drte**,신규사업/BD
drte**,기술/특허
drte**,연구개발/설계
chkc**,품질/안전
chkc**,생산/제조
chkc**,정부지원사업
chkc**,경영혁신/PI
chkc**,공장신축
topjjk**,신규사업/BD
topjjk**,경영전략/관리
topjjk**,경영혁신/PI
topjjk**,빅데이터/AI
topjjk**,마케팅전략/브랜딩
ksc79**,경영혁신/PI
ksc79**,생산/제조
ksc79**,품질/안전
ksc79**,경영전략/관리
nkaiser**,경영전략/관리
nkaiser**,CS
nkaiser**,마케팅전략/브랜딩
nkaiser**,일반법무
nkaiser**,정부지원사업
rase**,경영전략/관리
rase**,생산/제조
rase**,정부지원사업
rase**,해외영업/무역
rase**,품질/안전
w081508**,B2B영업
w081508**,경영전략/관리
w081508**,마케팅전략/브랜딩
manaslu81**,시장조사/데이터분석
manaslu81**,신규사업/BD
manaslu81**,해외영업/무역
manaslu81**,B2B영업
manaslu81**,물류/유통
jwyhydra**,GUI(UI/UX)
jwyhydra**,시스템엔지니어
jwyhydra**,빅데이터/AI
jwyhydra**,연구개발/설계
jwyhydra**,생산/제조
jaxonpa**,해외영업/무역
jaxonpa**,연구개발/설계
jaxonpa**,신규사업/BD
jaxonpa**,제안서/편집디자인
jaxonpa**,구매
ysshin69**,디자인/패션
noble**,해외영업/무역
nkkim07**,재무/회계/자금
nkkim07**,신규사업/BD
nkkim07**,경영혁신/PI
nkkim07**,경영전략/관리
nkkim07**,M&A/PMI
myun06**,인사
myun06**,경영전략/관리
myun06**,교육
myun06**,경영혁신/PI
arthurb**,B2B영업
arthurb**,마케팅전략/브랜딩
arthurb**,해외영업/무역
arthurb**,구매
arthurb**,B2C영업
daybre**,B2B영업
daybre**,시장조사/데이터분석
daybre**,정부지원사업
daybre**,빅데이터/AI
daybre**,PM
iamt**,PM
iamt**,시스템엔지니어
iamt**,경영혁신/PI
onlykim1**,마케팅전략/브랜딩
onlykim1**,시장조사/데이터분석
onlykim1**,교육
onlykim1**,CS
onlykim1**,구매
lygl**,PM
lygl**,경영혁신/PI
lygl**,신규사업/BD
hssynn6001**,연구개발/설계
hssynn6001**,품질/안전
hssynn6001**,생산/제조
shimjh**,해외영업/무역
shimjh**,마케팅전략/브랜딩
shimjh**,홍보/PR
hjs20014**,경영전략/관리
hjs20014**,해외영업/무역
hjs20014**,B2B영업
hjs20014**,경영혁신/PI
kaymin**,신규사업/BD
kaymin**,마케팅전략/브랜딩
kaymin**,B2C영업
kaymin**,경영전략/관리
kaymin**,B2B영업
jinair**,마케팅
jinair**,신규사업/BD
jinair**,경영전략/관리
songksi95**,생산/제조
songksi95**,품질/안전
songksi95**,공장신축
songksi95**,연구개발/설계
jacklee0**,B2C영업
jacklee0**,마케팅전략/브랜딩
jacklee0**,교육
jacklee0**,신규사업/BD
jacklee0**,정부지원사업
kunuk2**,B2C영업
kunuk2**,온라인마케팅
kunuk2**,상품기획
sjxma**,구매
sjxma**,생산/제조
sjxma**,원가관리
sjxma**,품질/안전
metal**,투자/IPO
Innovation**,경영혁신/PI
Innovation**,PM
Innovation**,신규사업/BD
hacjul**,연구개발/설계
hacjul**,생산/제조
hacjul**,품질/안전
hacjul**,신규사업/BD
hacjul**,경영전략/관리
homeperson**,B2C영업
homeperson**,상품기획
homeperson**,마케팅전략/브랜딩
homeperson**,구매
homeperson**,물류/유통
eje13**,신규사업/BD
eje13**,해외영업/무역
eje13**,경영전략/관리
eje13**,경영혁신/PI
eje13**,B2B영업
originalcolor**,광고/영상디자인
originalcolor**,온라인마케팅
originalcolor**,마케팅전략/브랜딩
originalcolor**,PM
4907l**,홍보/PR
4907l**,경영전략/관리
4907l**,재무/회계/자금
4907l**,B2B영업
4907l**,물류/유통
ilovepm**,연구개발/설계
ilovepm**,생산/제조
apol**,Other
ljwphs**,시장조사/데이터분석
ljwphs**,교육
ljwphs**,경영전략/관리
ljwphs**,총무
ljwphs**,일반법무
cbmoon**,경영전략/관리
cbmoon**,B2B영업
cbmoon**,마케팅전략/브랜딩
cbmoon**,빅데이터/AI
cbmoon**,신규사업/BD
ncn52**,경영전략/관리
ncn52**,교육
ncn52**,경영혁신/PI
ncn52**,총무
ncn52**,정부지원사업
ooooy**,경영전략/관리
ooooy**,신규사업/BD
ooooy**,해외영업/무역
ooooy**,Other
minjoo9**,재무/회계/자금
minjoo9**,일반법무
minjoo9**,세무
eomy20**,경영전략/신사업
eomy20**,마케팅
eomy20**,투자/IPO
eomy20**,인사
isl**,품질/안전
isl**,PM
changwon**,신규사업/BD
changwon**,경영혁신/PI
changwon**,정부지원사업
movie**,마케팅전략/브랜딩
movie**,광고/영상디자인
movie**,온라인마케팅
movie**,상품기획
movie**,B2C영업
excarry**,B2B영업
excarry**,구매
excarry**,물류/유통
goojoa**,경영전략/관리
goojoa**,재무/회계/자금
doctor**,투자/IPO
doctor**,재무/회계/자금
doctor**,경영전략/관리
doctor**,M&A/PMI
doctor**,경영혁신/PI
hyoung02**,경영전략/관리
hyoung02**,신규사업/BD
hyoung02**,M&A/PMI
hyoung02**,투자/IPO
kimbc53**,신규사업/BD
kimbc53**,PM
kimbc53**,B2B영업
kimbc53**,경영전략/관리
icaru**,신규사업/BD
icaru**,경영전략/관리
icaru**,경영혁신/PI
simon**,경영전략/관리
simon**,원가관리
simon**,재무/회계/자금
simon**,투자/IPO
vldv**,제품/공간디자인
vldv**,제안서/편집디자인
ini**,재무/회계/자금
ini**,원가관리
ini**,경영전략/관리
ini**,인사
pyo1**,온라인마케팅
pyo1**,B2C영업
pyo1**,경영전략/관리
pyo1**,상품기획
pyo1**,시장조사/데이터분석
ysw70**,경영전략/관리
ysw70**,신규사업/BD
ysw70**,마케팅전략/브랜딩
ysw70**,교육
ysw70**,연구개발/설계
ipsito**,교육
ipsito**,경영전략/관리
ipsito**,시장조사/데이터분석
ipsito**,신규사업/BD
ipsito**,마케팅전략/브랜딩
wkchae**,재무/회계/자금
wkchae**,신규사업/BD
wkchae**,마케팅전략/브랜딩
wkchae**,B2C영업
wkchae**,일반법무
jks**,경영전략/관리
jks**,경영혁신/PI
jks**,M&A/PMI
jks**,신규사업/BD
mikeka**,B2B영업
mikeka**,경영혁신/PI
MediaL**,일반법무
MediaL**,기술/특허
MediaL**,투자/IPO
MediaL**,신규사업/BD
MediaL**,M&A/PMI
choijh**,품질/안전
choijh**,생산/제조
jyk90**,경영전략/관리
jyk90**,신규사업/BD
jyk90**,빅데이터/AI
jyk90**,연구개발/설계
jyk90**,기술/특허
cosm**,신규사업/BD
cjsb29**,생산/제조
cjsb29**,품질/안전
Dani**,해외영업/무역
Dani**,B2B영업
Dani**,시장조사/데이터분석
uriaggi**,B2C영업
uriaggi**,물류/유통
uriaggi**,구매
uriaggi**,인사
uriaggi**,노무
jbpark**,마케팅전략/브랜딩
jbpark**,상품기획
jbpark**,해외영업/무역
jbpark**,교육
jbpark**,시장조사/데이터분석
mipsboy08**,마케팅전략/브랜딩
mipsboy08**,홍보/PR
mipsboy08**,정부지원사업
guitar**,온라인마케팅
guitar**,마케팅전략/브랜딩
guitar**,GUI(UI/UX)
guitar**,PM
guitar**,서비스기획
ssm17**,경영전략/관리
ssm17**,상품기획
ssm17**,B2C영업
ssm17**,해외영업/무역
ssm17**,물류/유통
pulo**,생산/제조
pulo**,B2B영업
pulo**,해외영업/무역
jahako**,신규사업/BD
jahako**,B2B영업
jahako**,온라인마케팅
jahako**,마케팅전략/브랜딩
jahako**,경영전략/관리
cptjo15**,Other
sjaylee**,해외영업/무역
sjaylee**,물류/유통
rob7**,제품/공간디자인
teri**,경영전략/관리
teri**,B2B영업
teri**,온라인마케팅
teri**,홍보/PR
teri**,마케팅전략/브랜딩
pmh11**,상품기획
pmh11**,신규사업/BD
pmh11**,마케팅전략/브랜딩
4uali**,경영혁신/PI
4uali**,품질/안전
hjk99**,인사
hjk99**,교육
jjjeon**,연구개발/설계
jjjeon**,PM
jjjeon**,B2B영업
jjjeon**,상품기획
pilz**,마케팅전략/브랜딩
pilz**,상품기획
kimsy1**,해외영업/무역
sky2**,B2C영업
sky2**,마케팅전략/브랜딩
sky2**,온라인마케팅
sky2**,경영전략/관리
dreamwork**,인사
dreamwork**,교육
dreamwork**,노무
topa**,생산/제조
topa**,품질/안전
topa**,연구개발/설계
topa**,공장신축
chaeh**,홍보/PR
chaeh**,마케팅전략/브랜딩
chaeh**,온라인마케팅
chaeh**,시장조사/데이터분석
e09**,일반법무
e09**,경영전략/관리
e09**,투자/IPO
e09**,교육
e09**,마케팅
rych20**,신규사업/BD
rych20**,해외영업/무역
rych20**,마케팅전략/브랜딩
rych20**,물류/유통
rych20**,교육
goldbear01**,인사
goldbear01**,노무
goldbear01**,생산/제조
goldbear01**,구매
goldbear01**,경영전략/관리
bensung257**,경영혁신/PI
bensung257**,경영전략/관리
bensung257**,구매
bensung257**,원가관리
bensung257**,생산/제조
kdj93**,품질/안전
jrsohn05**,B2B영업
jrsohn05**,해외영업/무역
jrsohn05**,물류/유통
jrsohn05**,B2C영업
jrsohn05**,신규사업/BD
misodrea**,경영혁신/PI
misodrea**,품질/안전
misodrea**,생산/제조
misodrea**,교육
misodrea**,CS
sank20**,B2B영업
sank20**,신규사업/BD
sank20**,마케팅
vixl**,서비스기획
vixl**,PM
vixl**,서버개발/앱개발
vixl**,경영전략/신사업
vixl**,시스템엔지니어
moonjs**,신규사업/BD
moonjs**,경영전략/관리
moonjs**,M&A/PMI
c19**,Other
nadana2233**,디자인/패션
nadana2233**,온라인마케팅
nadana2233**,해외영업/무역
isaac01**,해외영업/무역
isaac01**,M&A/PMI
isaac01**,신규사업/BD
isaac01**,구매
isaac01**,경영전략/관리
jam**,경영전략/관리
jam**,신규사업/BD
pck2**,인사
pck2**,경영전략/관리
pck2**,B2C영업
pck2**,경영혁신/PI
pck2**,노무
jnk20**,경영혁신/PI
jnk20**,경영전략/관리
jnk20**,원가관리
jnk20**,빅데이터/AI
jnk20**,인사
gus12**,경영전략/관리
gus12**,마케팅전략/브랜딩
gus12**,물류/유통
gus12**,인사
gus12**,교육
bijays**,연구개발/설계
bijays**,생산/제조
bijays**,품질/안전
bijays**,B2B영업
bijays**,신규사업/BD
nicea**,공장신축
nicea**,생산/제조
nicea**,경영전략/관리
nethe**,투자/IPO
nethe**,M&A/PMI
kdlim05**,인사
kyuhong**,제품/공간디자인
kyuhong**,제안서/편집디자인
kyuhong**,시장조사/데이터분석
kyuhong**,상품기획
kyuhong**,마케팅전략/브랜딩
redtop**,인사
redtop**,교육
redtop**,노무
GlobalHRexpe**,인사
GlobalHRexpe**,교육
GlobalHRexpe**,노무
kangdo**,경영혁신/PI
kangdo**,경영전략/관리
kangdo**,신규사업/BD
kangdo**,원가관리
kangdo**,PM
vision2**,품질/안전
vision2**,생산/제조
bk1309**,신규사업/BD
bk1309**,마케팅전략/브랜딩
bk1309**,해외영업/무역
bk1309**,정부지원사업
bk1309**,시장조사/데이터분석
sungjae**,인사
sungjae**,노무
sungjae**,총무
avecp**,연구개발/설계
Wayne**,경영전략/관리
hckim**,신규사업/BD
hckim**,경영전략/관리
hckim**,M&A/PMI
secl76**,공장신축
secl76**,품질/안전
secl76**,정부지원사업
secl76**,시장조사/데이터분석
secl76**,경영혁신/PI
007jbo**,IT
mshum**,온라인마케팅
mshum**,마케팅전략/브랜딩
mshum**,광고/영상디자인
mshum**,서비스기획
root02**,경영전략/관리
root02**,PM
root02**,물류/유통
root02**,경영혁신/PI
wellpet20**,재무/회계/자금
wellpet20**,물류/유통
wellpet20**,PM
wellpet20**,투자/IPO
wellpet20**,공장신축
mcenr**,품질/안전
mcenr**,생산/제조
mcenr**,연구개발/설계
james**,B2B영업
wjsans**,노무
wjsans**,인사
wjsans**,교육
palms**,연구개발/설계
palms**,신규사업/BD
palms**,시스템엔지니어
palms**,구매
palms**,해외영업/무역
iychu**,경영혁신/PI
iychu**,생산/제조
iychu**,PM
iychu**,빅데이터/AI
kianje**,영업/구매/유통
kianje**,신규사업/BD
charles**,해외영업/무역
charles**,구매
charles**,B2B영업
charles**,물류/유통
brandman**,마케팅전략/브랜딩
brandman**,시장조사/데이터분석
brandman**,제안서/편집디자인
brandman**,광고/영상디자인
brandman**,제품/공간디자인
imkwo**,신규사업/BD
imkwo**,B2C영업
imkwo**,B2B영업
imkwo**,경영전략/관리
imkwo**,물류/유통
byungso**,재무/회계/자금
byungso**,인사
byungso**,경영전략/관리
byungso**,세무
norge9**,홍보/PR
norge9**,마케팅전략/브랜딩
norge9**,제안서/편집디자인
norge9**,광고/영상디자인
gotjdw**,서비스기획
gotjdw**,신규사업/BD
gotjdw**,상품기획
gotjdw**,연구개발/설계
gotjdw**,PM
mbcc**,마케팅전략/브랜딩
Ryu**,경영전략/관리
Ryu**,마케팅전략/브랜딩
Ryu**,서비스기획
sdkimk**,기술/특허
sdkimk**,마케팅전략/브랜딩
sdkimk**,경영전략/관리
sdkimk**,연구개발/설계
sdkimk**,인사
dmki**,재무/회계/자금
dmki**,일반법무
dmki**,Other
jayu**,B2B영업
jayu**,온라인마케팅
jayu**,마케팅전략/브랜딩
jayu**,시장조사/데이터분석
amore**,PM
amore**,품질/안전
amore**,경영혁신/PI
amore**,상품기획
amore**,교육
arman**,온라인마케팅
arman**,B2C영업
arman**,서비스기획
arman**,신규사업/BD
hong69**,교육
brandkim14**,마케팅전략/브랜딩
brandkim14**,상품기획
brandkim14**,신규사업/BD
holl**,인사
holl**,노무
holl**,총무
holl**,교육
sharplan**,신규사업/BD
sharplan**,제안서/편집디자인
sharplan**,제품/공간디자인
FlowS**,연구개발/설계
FlowS**,물류/유통
FlowS**,PM
FlowS**,구매
heesun7**,인사
heesun7**,교육
heesun7**,신규사업/BD
heesun7**,마케팅전략/브랜딩
heesun7**,상품기획
trademarkwithjen**,기술/특허
7581go**,신규사업/BD
7581go**,투자/IPO
7581go**,정부지원사업
7581go**,경영전략/관리
unico**,경영전략/신사업
unico**,엔지니어링
unico**,상품기획
unico**,영업/구매/유통
unico**,마케팅전략/브랜딩
yuanl**,해외영업/무역
yuanl**,연구개발/설계
yuanl**,온라인마케팅
yuanl**,M&A/PMI
wnstjd8**,온라인마케팅
wnstjd8**,인사
wnstjd8**,교육
chiangmailee90**,재무/회계/자금
gyeongsi**,경영전략/관리
gyeongsi**,해외영업/무역
gyeongsi**,인사
gyeongsi**,재무/회계/자금
gyeongsi**,마케팅전략/브랜딩
whkoop**,품질/안전
anov**,생산/제조
anov**,공장신축
anov**,연구개발/설계
anov**,품질/안전
anov**,신규사업/BD
moving**,연구개발/설계
moving**,제품/공간디자인
moving**,신규사업/BD
moving**,마케팅전략/브랜딩
moving**,기술/특허
yeonyang**,신규사업/BD
yeonyang**,해외영업/무역
yeonyang**,마케팅
yeonyang**,B2B영업
yeonyang**,물류/유통
rch**,M&A/PMI
rch**,재무/회계/자금
rch**,투자/IPO
rch**,경영혁신/PI
rch**,경영전략/관리
ycyang**,신규사업/BD
ycyang**,마케팅전략/브랜딩
ycyang**,경영전략/관리
ycyang**,경영혁신/PI
ycyang**,인사
omo**,신규사업/BD
omo**,시장조사/데이터분석
omo**,정부지원사업
55dy**,해외영업/무역
55dy**,신규사업/BD
55dy**,경영전략/관리
55dy**,B2C영업
55dy**,B2B영업
c20**,신규사업/BD
c20**,경영혁신/PI
c20**,B2C영업
c20**,마케팅전략/브랜딩
huhmoo2**,재무/회계/자금
huhmoo2**,경영전략/관리
huhmoo2**,물류/유통
pty5**,경영혁신/PI
pty5**,생산/제조
pty5**,물류/유통
pty5**,연구개발/설계
pty5**,구매
yuta**,품질/안전
yuta**,생산/제조
yuta**,연구개발/설계
011mari**,Other
ytline**,경영전략/관리
ytline**,투자/IPO
ytline**,Other
ytline**,신규사업/BD
yhpark2y**,물류/유통
yhpark2y**,구매
yhpark2y**,PM
theansw**,마케팅전략/브랜딩
theansw**,온라인마케팅
theansw**,홍보/PR
theansw**,상품기획
theansw**,경영전략/관리
uiuxkkko**,GUI(UI/UX)
yun0**,경영전략/신사업
yun0**,엔지니어링
yun0**,IT
yun0**,B2B영업
yun0**,교육
eaglepapa**,경영전략/관리
eaglepapa**,시장조사/데이터분석
poet5**,경영전략/관리
michaelkim51**,신규사업/BD
michaelkim51**,B2C영업
michaelkim51**,마케팅전략/브랜딩
michaelkim51**,B2B영업
michaelkim51**,온라인마케팅
bwmc55**,신규사업/BD
bwmc55**,마케팅전략/브랜딩
bwmc55**,상품기획
bwmc55**,경영전략/관리
h9717**,B2C영업
h9717**,물류/유통
h9717**,CS
serymo**,PM
serymo**,신규사업/BD
serymo**,해외영업/무역
serymo**,서비스기획
jyj36**,생산/제조
jyj36**,품질/안전
jyj36**,연구개발/설계
jyj36**,공장신축
asia**,물류/유통
asia**,구매
asia**,해외영업/무역
WineStein**,신규사업/BD
WineStein**,B2B영업
WineStein**,B2C영업
WineStein**,경영전략/관리
WineStein**,상품기획
NovelJSC73**,B2B영업
NovelJSC73**,시장조사/데이터분석
NovelJSC73**,경영전략/관리
NovelJSC73**,CS
NovelJSC73**,생산/제조
mizifig10**,경영전략/관리
mizifig10**,경영혁신/PI
mizifig10**,M&A/PMI
mizifig10**,재무/회계/자금
mizifig10**,투자/IPO
SWKim04**,연구개발/설계
SWKim04**,생산/제조
SWKim04**,품질/안전
kug00**,B2B영업
kug00**,경영전략/관리
kug00**,B2C영업
kug00**,CS
kug00**,마케팅전략/브랜딩
hkhpd23243**,B2B영업
mayo**,물류/유통
mayo**,B2C영업
ionetv**,PM
ionetv**,서비스기획
ionetv**,CS
ionetv**,온라인마케팅
ionetv**,경영혁신/PI
ohmg17**,재무/회계/자금
ohmg17**,경영전략/관리
ohmg17**,영업/구매/유통
ohmg17**,인사
wonjun**,제품/공간디자인
dragonlb**,재무/회계/자금
dragonlb**,노무
dragonlb**,경영전략/관리
dragonlb**,Other
biofr**,신규사업/BD
biofr**,M&A/PMI
biofr**,연구개발/설계
biofr**,생산/제조
biofr**,경영전략/관리
duri**,생산/제조
hyojincap**,생산/제조
hyojincap**,품질/안전
hyojincap**,교육
hyojincap**,경영전략/관리
hyojincap**,연구개발/설계
donghcho0**,경영혁신/PI
donghcho0**,온라인마케팅
donghcho0**,PM
donghcho0**,재무/회계/자금
donghcho0**,빅데이터/AI
Kimjoil89**,인사
Kimjoil89**,교육
Kimjoil89**,노무
BIGMA**,빅데이터/AI
BIGMA**,서비스기획
BIGMA**,GUI(UI/UX)
imkim**,경영전략/관리
imkim**,마케팅전략/브랜딩
imkim**,B2B영업
imkim**,B2C영업
imkim**,물류/유통
chme**,신규사업/BD
chme**,M&A/PMI
chme**,경영전략/관리
chme**,투자/IPO
chme**,정부지원사업
hirh**,경영전략/신사업
hirh**,연구개발/설계
john20**,마케팅전략/브랜딩
john20**,해외영업/무역
john20**,B2B영업
Kennyjeon5**,물류/유통
Kennyjeon5**,신규사업/BD
Kennyjeon5**,교육
seojongha**,신규사업/BD
seojongha**,경영전략/관리
seojongha**,경영혁신/PI
seojongha**,M&A/PMI
gyul01**,신규사업/BD
gyul01**,해외영업/무역
gyul01**,시장조사/데이터분석
gyul01**,마케팅전략/브랜딩
bkmir**,PM
bkmir**,신규사업/BD
bkmir**,B2B영업
bkmir**,물류/유통
bkmir**,품질/안전
chance37**,투자/IPO
chance37**,신규사업/BD
chance37**,서비스기획
chance37**,빅데이터/AI
chance37**,Other
marketi**,마케팅전략/브랜딩
marketi**,상품기획
marketi**,홍보/PR
marketi**,온라인마케팅
marketi**,신규사업/BD
shinwk1**,신규사업/BD
shinwk1**,경영혁신/PI
shinwk1**,마케팅전략/브랜딩
shinwk1**,B2B영업
shinwk1**,B2C영업
cim73**,서비스기획
cim73**,빅데이터/AI
cim73**,PM
cim73**,경영전략/관리
cim73**,경영혁신/PI
michella**,마케팅전략/브랜딩
michella**,상품기획
michella**,온라인마케팅
michella**,시장조사/데이터분석
michella**,제안서/편집디자인
eid**,홍보/PR
df87**,연구개발/설계
df87**,구매
df87**,생산/제조
dhr**,빅데이터/AI
dhr**,서버개발/앱개발
dhr**,서비스기획
jjlk**,세무
jjlk**,정부지원사업
jjlk**,경영전략/관리
Trend**,경영전략/관리
Trend**,신규사업/BD
Trend**,해외영업/무역
Trend**,B2C영업
Trend**,CS
chi**,생산/제조
chi**,경영전략/관리
chi**,연구개발/설계
chi**,신규사업/BD
chi**,경영혁신/PI
cysrac**,신규사업/BD
cysrac**,경영전략/관리
cysrac**,상품기획
cysrac**,시장조사/데이터분석
cysrac**,온라인마케팅
insa**,인사
insa**,교육
insa**,노무
insa**,경영혁신/PI
herosmi**,마케팅전략/브랜딩
herosmi**,홍보/PR
herosmi**,해외영업/무역
herosmi**,물류/유통
bkstar3**,인사
bkstar3**,노무
bkstar3**,교육
bkstar3**,총무
bkstar3**,경영전략/관리
juh1**,신규사업/BD
Blv**,마케팅전략/브랜딩
kds5856**,연구개발/설계
kds5856**,생산/제조
kds5856**,공장신축
bklim**,인사
bklim**,노무
bklim**,교육
bklim**,총무
bklim**,경영혁신/PI
farland0**,연구개발/설계
farland0**,품질/안전
farland0**,생산/제조
farland0**,신규사업/BD
junctio**,연구개발/설계
jjjung22**,해외영업/무역
jhl**,빅데이터/AI
jhl**,시스템엔지니어
jhl**,PM
jhl**,경영혁신/PI
jhl**,신규사업/BD
retra**,M&A/PMI
retra**,투자/IPO
retra**,재무/회계/자금
retra**,원가관리
retra**,신규사업/BD
tk85**,신규사업/BD
tk85**,연구개발/설계
tk85**,품질/안전
tk85**,생산/제조
tk85**,공장신축
future**,홍보/PR
future**,시장조사/데이터분석
future**,마케팅전략/브랜딩
future**,신규사업/BD
future**,B2C영업
byunlo**,온라인마케팅
byunlo**,마케팅전략/브랜딩
kandoli**,Other
kandoli**,생산/제조
kandoli**,품질/안전
kandoli**,연구개발/설계
kandoli**,PM
last**,신규사업/BD
last**,PM
last**,서비스기획
last**,빅데이터/AI
last**,연구개발/설계
ksi18**,해외영업/무역
ksi18**,경영전략/관리
ksi18**,B2B영업
ksi18**,구매
ksi18**,마케팅전략/브랜딩
goodmankw**,인사
goodmankw**,교육
goodmankw**,총무
goodmankw**,노무
goodmankw**,경영혁신/PI
b2bmon**,재무/회계/자금
b2bmon**,온라인마케팅
b2bmon**,B2B영업
b2bmon**,시장조사/데이터분석
b2bmon**,B2C영업
kcka**,마케팅전략/브랜딩
kcka**,시장조사/데이터분석
kcka**,상품기획
kcka**,홍보/PR
nammo**,구매
nammo**,B2B영업
nammo**,B2C영업
nammo**,물류/유통
nammo**,CS
