expert,skills
k0b0j**,경영전략/신사업
k0b0j**,상품기획
k0b0j**,서비스기획
k0b0j**,PM
jwa0**,마케팅
jwa0**,경영전략/신사업
jwa0**,Other
jwa0**,해외영업/무역
jwa0**,물류/유통
goljy7**,신규사업/BD
goljy7**,상품기획
goljy7**,마케팅전략/브랜딩
dreamac**,경영전략/관리
dreamac**,재무/회계/자금
dreamac**,원가관리
dreamac**,세무
yeslife14**,M&A/PMI
yeslife14**,경영전략/관리
joyo**,물류/유통
joyo**,신규사업/BD
joyo**,B2C영업
dhjeo**,빅데이터/AI
dhjeo**,시스템엔지니어
dhjeo**,연구개발/설계
dhjeo**,생산/제조
dhjeo**,서비스기획
orimo**,마케팅전략/브랜딩
orimo**,홍보/PR
orimo**,온라인마케팅
orimo**,광고/영상디자인
jkeyba**,경영전략/관리
jkeyba**,경영혁신/PI
jkeyba**,인사/총무
jkeyba**,원가관리
jkeyba**,재무/회계/자금
hanzaik**,해외영업/무역
hanzaik**,B2B영업
hanzaik**,B2C영업
hanzaik**,Other
tiger5**,투자/IPO
tiger5**,홍보/PR
tiger5**,경영전략/관리
tiger5**,B2B영업
tiger5**,M&A/PMI
wdokko17**,연구개발/설계
wdokko17**,기술/특허
wdokko17**,신규사업/BD
wdokko17**,원가관리
wdokko17**,품질/안전
wtkimkr13**,연구개발/설계
puman03**,신규사업/BD
puman03**,경영혁신/PI
puman03**,GUI(UI/UX)
puman03**,서비스기획
puman03**,해외영업/무역
jwpp**,재무/회계/자금
jwpp**,원가관리
jwpp**,투자/IPO
jwpp**,세무
help**,경영혁신/PI
help**,CS
help**,품질/안전
help**,시장조사/데이터분석
help**,정부지원사업
skkim26**,연구개발/설계
skkim26**,PM
skkim26**,시스템엔지니어
skkim26**,품질/안전
skkim26**,신규사업/BD
sunwa**,경영전략/관리
sunwa**,인사
sunwa**,교육
sunwa**,경영혁신/PI
sunwa**,총무
bookd**,M&A/PMI
bookd**,신규사업/BD
bookd**,경영전략/관리
bookd**,투자/IPO
bri**,경영혁신/PI
bri**,경영전략/관리
bri**,마케팅전략/브랜딩
bri**,시장조사/데이터분석
bri**,교육
han4ra**,연구개발/설계
han4ra**,생산/제조
blnbr**,공장신축
kdchai**,경영혁신/PI
kdchai**,생산/제조
kdchai**,품질/안전
kdchai**,경영전략/관리
kdchai**,인사
mymycho35**,인사
mymycho35**,총무
mymycho35**,교육
mymycho35**,노무
mymycho35**,경영전략/관리
cnc03**,인사/총무
cnc03**,마케팅전략/브랜딩
cnc03**,정부지원사업
cnc03**,경영전략/관리
cnc03**,시장조사/데이터분석
steel**,경영전략/관리
steel**,B2B영업
steel**,품질/안전
steel**,시스템엔지니어
steel**,총무
hsj76**,마케팅
hsj76**,B2C영업
hsj76**,교육
hsj76**,신규사업/BD
hsj76**,물류/유통
win**,경영전략/관리
win**,M&A/PMI
win**,투자/IPO
win**,경영혁신/PI
win**,신규사업/BD
jpchu**,경영전략/관리
jpchu**,투자/IPO
ygpar**,연구개발/설계
ygpar**,신규사업/BD
lgwoo**,경영전략/관리
lgwoo**,신규사업/BD
lgwoo**,경영혁신/PI
lgwoo**,상품기획
lgwoo**,연구개발/설계
Ericsukhee**,신규사업/BD
Ericsukhee**,투자/IPO
Ericsukhee**,경영전략/관리
Ericsukhee**,해외영업/무역
tedl**,신규사업/BD
tedl**,B2B영업
tedl**,물류/유통
tedl**,상품기획
tedl**,마케팅전략/브랜딩
hkhk3**,품질/안전
hkhk3**,연구개발/설계
hkhk3**,원가관리
hkhk3**,CS
hkhk3**,경영전략/관리
leemann**,연구개발/설계
leemann**,신규사업/BD
leemann**,품질/안전
woobe**,신규사업/BD
woobe**,물류/유통
woobe**,경영전략/관리
woobe**,온라인마케팅
woobe**,마케팅전략/브랜딩
ygchoi**,신규사업/BD
ygchoi**,경영전략/관리
ygchoi**,B2B영업
ygchoi**,해외영업/무역
ygchoi**,B2C영업
rainman68**,연구개발/설계
rainman68**,PM
rainman68**,신규사업/BD
rainman68**,해외영업/무역
rainman68**,Other
lgfl**,경영전략/관리
lgfl**,재무/회계/자금
lgfl**,경영혁신/PI
lgfl**,PM
na031**,경영전략/관리
na031**,신규사업/BD
na031**,경영혁신/PI
whitesa**,생산/제조
whitesa**,공장신축
whitesa**,신규사업/BD
whitesa**,연구개발/설계
whitesa**,Other
sam12**,M&A/PMI
sam12**,투자/IPO
sam12**,재무/회계/자금
sam12**,인사
sam12**,경영전략/관리
hybrid2**,경영전략/관리
hybrid2**,신규사업/BD
hybrid2**,투자/IPO
hybrid2**,구매
hybrid2**,상품기획
kylepa**,M&A/PMI
kylepa**,재무/회계/자금
kylepa**,온라인마케팅
kylepa**,원가관리
cbsl**,경영전략/관리
cbsl**,총무
cbsl**,마케팅전략/브랜딩
mickeysh**,B2B영업
mickeysh**,해외영업/무역
mickeysh**,신규사업/BD
mickeysh**,마케팅전략/브랜딩
mickeysh**,경영전략/관리
jollyk**,경영전략/관리
jollyk**,마케팅전략/브랜딩
jollyk**,신규사업/BD
jollyk**,교육
jollyk**,정부지원사업
woos19**,신규사업/BD
woos19**,경영전략/관리
woos19**,마케팅전략/브랜딩
woos19**,시장조사/데이터분석
woos19**,상품기획
jerry58**,노무
jerry58**,인사
jerry58**,품질/안전
jerry58**,Other
kwooil08**,투자/IPO
kwooil08**,신규사업/BD
kwooil08**,홍보/PR
kwooil08**,Other
mattheu**,경영전략/관리
mattheu**,정부지원사업
mattheu**,인사
mattheu**,투자/IPO
mattheu**,노무
ky06**,경영전략/관리
ky06**,마케팅전략/브랜딩
ky06**,재무/회계/자금
ky06**,투자/IPO
ciojo**,물류/유통
ciojo**,PM
ciojo**,경영혁신/PI
ciojo**,B2B영업
Vin19**,신규사업/BD
Vin19**,CS
hsm63**,재무/회계/자금
hsm63**,원가관리
hsm63**,세무
love2u4ev**,구매
love2u4ev**,물류/유통
love2u4ev**,해외영업/무역
love2u4ev**,생산/제조
love2u4ev**,신규사업/BD
banf**,구매
banf**,물류/유통
banf**,생산/제조
tyj69**,해외영업/무역
tyj69**,신규사업/BD
tyj69**,상품기획
viper2**,상품기획
viper2**,제품/공간디자인
viper2**,마케팅전략/브랜딩
viper2**,시장조사/데이터분석
viper2**,PM
bluedaylol**,PM
bluedaylol**,시장조사/데이터분석
bluedaylol**,상품기획
bluedaylol**,경영전략/관리
bluedaylol**,서비스기획
da2**,서버개발/앱개발
da2**,서비스기획
da2**,PM
da2**,시스템엔지니어
da2**,B2B영업
bemaveri**,신규사업/BD
bemaveri**,인사
bemaveri**,투자/IPO
bemaveri**,교육
bemaveri**,M&A/PMI
spelp**,생산/제조
spelp**,연구개발/설계
JER**,PM
JER**,공장신축
JER**,신규사업/BD
JER**,B2B영업
JER**,마케팅전략/브랜딩
gilconsulti**,재무/회계/자금
gilconsulti**,경영전략/관리
yangme**,온라인마케팅
yangme**,시장조사/데이터분석
yangme**,마케팅전략/브랜딩
yangme**,B2C영업
yangme**,홍보/PR
dongq20**,신규사업/BD
dongq20**,연구개발/설계
dongq20**,정부지원사업
dongq20**,기술/특허
dongq20**,품질/안전
wiseman**,신규사업/BD
wiseman**,해외영업/무역
wiseman**,PM
wiseman**,마케팅전략/브랜딩
wiseman**,B2C영업
cyborg**,빅데이터/AI
cyborg**,신규사업/BD
cyborg**,서비스기획
iramhy**,경영혁신/PI
iramhy**,생산/제조
josephpark**,경영전략/관리
josephpark**,재무/회계/자금
josephpark**,M&A/PMI
josephpark**,원가관리
ssleem**,B2C영업
ssleem**,물류/유통
ssleem**,CS
ssleem**,구매
ssleem**,B2B영업
verhoyans**,B2B영업
verhoyans**,B2C영업
verhoyans**,신규사업/BD
verhoyans**,홍보/PR
kos40**,신규사업/BD
kos40**,연구개발/설계
kos40**,품질/안전
kos40**,PM
kos40**,서비스기획
charlesch**,마케팅전략/브랜딩
charlesch**,경영전략/신사업
charlesch**,해외영업/무역
charlesch**,품질/안전
charlesch**,법무/대정부
mh0901**,경영전략/관리
mh0901**,B2B영업
gncho**,PM
leekorea**,경영전략/관리
okcha**,연구개발/설계
okcha**,생산/제조
okcha**,품질/안전
okcha**,해외영업/무역
okcha**,경영전략/관리
igkim**,신규사업/BD
igkim**,경영전략/관리
igkim**,마케팅전략/브랜딩
igkim**,B2B영업
igkim**,Other
kihwangl**,온라인마케팅
raima09**,신규사업/BD
raima09**,경영전략/관리
raima09**,B2B영업
raima09**,교육
raima09**,PM
semiyun**,신규사업/BD
