company,career,education,region,reg,deadline,type,title,job,tag
삼미국제로직스(주),신입 · 경력,학력무관,인천 중구,2022-04-29,2022-06-16,정규직,(신국제관세법인 인천공항지사)수입부 관세사무원 채용공고,"
, 관세사무원, 관세사무원, 4대보험,  ",회계·세무·재무
세무법인 청담,2 ~ 15년,학력무관,경기 광주시,2022-05-28,2022-06-26,정규직,세무법인청담 송정지점 직원모집,"
, 부가세신고, 세무기장, 신고대리, 종합소득세, 세무사사무실,  외            ",회계·세무·재무
(주)악마돼지,경력무관,학력무관,서울 금천구,2022-04-15,채용시,정규직,"2022년 상반기  경리부, 관리부 5명 모집","
, 경리사무원, 사무직, 경영지원, 물류관리, 자재관리,  외            ",회계·세무·재무
세무법인 좋은,신입 · 경력,"대학(2,3년) 이상",경기 광명시,2022-05-28,2022-07-26,정규직,"세무사 사무실 직원 추가 채용(신입, 경력)","
, 세무사, 회계사, 회계,  ",회계·세무·재무
(주)뉴로컨버젼스,신입 · 경력,대학교(4년) 이상,서울 금천구,2022-05-28,채용시,정규직,회계 및 경영지원 사무직 채용 공고,"
, 경영지원, 회계, 사무직, 경리,  ",회계·세무·재무
(주)마이뮤직테이스트,경력 2년↑,"대학(2,3년) 이상",서울 강남구,2022-05-28,채용시,정규직,재무/회계 팀원 채용,"
, 더존, 관리회계, 법인결산, 전표입력, 회계결산,  외            ",회계·세무·재무
디앤피회계사무소,2 ~ 10년,학력무관,서울 송파구,2022-05-28,채용시,정규직,세무사무실 5년 이상 경력직원 모집,"
, 세무사, 전산회계, 회계사, 더존, 법인결산,  외            ",회계·세무·재무
에이엔바이오,경력무관,고졸 이상,경기 성남시 수정구,2022-05-28,2022-07-26,정규직,사무보조 및 경리/회계 업무 모집 - 정규직,"
, 경리, 경리사무원, 회계, 재무,  ",회계·세무·재무
(주)카택스,경력무관,학력무관,대구 남구,2022-05-19,2022-06-17,정규직,[카택스] 사업관리(정부R&D) / 경영지원팀 인재 모집,"
, 경리, 총무, 자산관리, 경영지원, 복리후생,  외            ",회계·세무·재무
세화세무회계,경력무관,학력무관,경기 남양주시,2022-05-28,2022-07-10,정규직,[세화세무회계] 세무사사무실 직원채용,"
, 세무사, 회계사, 더존, 법인결산, 부가세신고,  외            ",회계·세무·재무
화림세무회계,신입 · 경력,학력무관,경기 하남시,2022-04-29,2022-06-27,정규직,"인택스세무그룹-화림세무회계 신입 1명, 경력 1명 구인합니다 :)","
, 세무사, 회계사, 더존, 4대보험, 급여(Payroll),  외            ",회계·세무·재무
(주)한양티에프에스,경력무관,학력무관,서울 영등포구,2022-05-05,2022-07-03,계약직,[경리팀] 경력무관 모집합니다,"
, 출납, 경리,  ",회계·세무·재무
(주)골프존카운티,5 ~ 10년,학력무관,대전 유성구,2022-05-28,채용시,정규직,자금관리 담당 경력사원 정규직 채용,"
, 자금관리, 감사, 회계, 재무, 더존,  외            ",회계·세무·재무
앨범버그(주),경력 1년↑,대학교(4년) 이상,서울 강남구,2022-05-28,2022-07-26,계약직 · 인턴직,총무&회계보조 직원 채용(중국어 가능자 )-서울근무,"
, 경리, 전산회계, ERP, 총무, 비품관리,  외            ",회계·세무·재무
(주)제이케이몬,신입 · 경력,학력무관,서울 금천구,2022-05-28,채용시,정규직,(주)제이케이몬 경리 회계 사무원 정규직 모집합니다,"
, 출납, 회계, 경리,  ",회계·세무·재무
앨범버그(주),경력 1년↑,대학교(4년) 이상,경남 창원시,2022-05-28,2022-07-26,계약직 · 인턴직,총무&회계보조 직원 채용(중국어 가능자 ),"
, 총무, 인사행정, 회계,  ",회계·세무·재무
세무기업 바른길,신입 · 경력,학력무관,서울 성동구,2022-05-28,채용시,정규직,세무사사무실 정규직 모집 공고(경력or신입),"
, 세무사, 전산회계, 회계사, 세무조정,  ",회계·세무·재무
데이터킹(주),경력무관,"대학(2,3년) 이상",서울 금천구,2022-05-28,2022-07-26,정규직,"(정규직) 경리,총무","
, 세무사, 회계사, 관리회계, IT영업, 고객관리,  외            ",회계·세무·재무
(주)버킷플레이스,신입,학력무관,서울 서초구,2022-05-28,채용시,계약직,[오늘의집] 정산담당자 (1년 계약직) 채용,"
, 더존, 정산관리, 재무,  ",회계·세무·재무
현대철강(주),경력무관,"대학(2,3년) 이상",경남 창원시,2022-05-28,채용시,정규직,철강(스테인레스) 영업사원 모집,"
, 경리, 급여(Payroll), 총무, 서류관리, 기술영업,  외            ",회계·세무·재무
(주)메이크인,경력무관,학력무관,경기 성남시 분당구,2022-05-28,2022-06-26,정규직 · 계약직,(분당/정자역)대기업 차량관리실 배차행정 담당자 채용,"
, 법인결산, 자금관리, 전표입력, 출납, 회계결산,  외            ",회계·세무·재무
(주)라이언게임즈,경력 3년↑,학력무관,서울 강남구,2022-05-28,채용시,정규직,[라이언게임즈] 회계 담당자 채용,"
, 감사, 세무사, 회계사, 재무기획, 주식영업,  외            ",회계·세무·재무
(주)우신라보타치,경력무관,"대학(2,3년) 이상",서울 구로구,2022-05-28,2022-06-12,정규직,"회계 가능한 총무부 사원, 대리급 채용 (남/여 구분없음)","
, 경리, 더존, 4대보험, 급여(Payroll), 법인결산,  외            ",회계·세무·재무
(주)플레쉐 인터내셔널,경력무관,"대학(2,3년) 이상",서울 강남구,2022-05-28,2022-06-26,정규직,[플레쉐인터내셔널] 영업지원 및 회계/경영지원,"
, 경리, 관리회계, 법인결산, 부가세신고, 자금관리,  외            ",회계·세무·재무
