company,career,education,region,reg,deadline,type,title,job,tag
(주)비즈마켓,신입 · 경력,"대학(2,3년) 이상",서울 강남구,2022-04-23,채용시,정규직,"복지몰 운영 신입 /커머스마케팅 경력 채용 (포인트몰,복지몰)","
, 쇼핑몰관리, 온라인마케팅, 서비스기획, 정산관리, 마케팅,  외            ",마케팅·홍보·조사
한국먼디파마(유),7 ~ 14년,대학교(4년) 이상,서울 중구,2022-06-09,2022-07-25,정규직,[한국먼디파마] Digital Manager 채용,"
, 마케팅전략, 블로그마케팅, 광고마케팅, 광고PD, 디지털마케팅,  외            ",마케팅·홍보·조사
(주)여기어때컴퍼니,5 ~ 10년,학력무관,서울 강남구,2022-05-31,2022-07-30,정규직,아웃바운드 통합 마케팅 담당,"
, 프로모션기획, 아웃바운드, 마케팅, 기획, 홍보,  외            ",마케팅·홍보·조사
아이지에스(주),신입 · 경력,학력무관,서울 영등포구,2022-05-13,채용시,정규직,[IGS]게임 운영 담당자 (신입/경력) 모집,"
, GM(게임운영), QA/테스터, 사이트관리, 콘텐츠관리, 콘텐츠에디터,  외            ",마케팅·홍보·조사
(주)커스텀그라운드,신입 · 경력,학력무관,서울 서초구,2022-06-09,2022-07-08,정규직,"소셜(SNS)마케팅, 디지털마케팅 기획자 모집(경력)","
, 마케팅기획, 마케팅전략, 블로그마케팅, 인플루언서마케팅, SNS마케팅,  외            ",마케팅·홍보·조사
(주)다루아이앤씨,경력무관,학력무관,경기 광명시,2022-06-09,2022-07-08,정규직 · 계약직,온라인마케팅/SNS마케팅  기획 및 운영 관리 신입/경력자 모집,"
, 마케팅기획, 마케팅전략, 바이럴마케팅, 온라인마케팅, 키워드광고,  외            ",마케팅·홍보·조사
아이지에스(주),경력 5년↑,대학교(4년) 이상,서울 영등포구,2022-06-01,2022-07-30,정규직,[IGS] 웹 개발자 모집 (경력),"
, GM(게임운영), QA/테스터, 사이트관리, 콘텐츠관리, 콘텐츠에디터,  외            ",마케팅·홍보·조사
(주)오아이씨코리아,경력 2년↑,대학교(4년) 이상,인천 부평구,2022-06-09,2022-07-08,정규직,해외영업 및 영업관리,"
, 기술영업, 영업관리, 해외시장개척, 해외영업, 바이어발굴/관리,  외            ",마케팅·홍보·조사
(주)에이담,경력무관,학력무관,서울 강서구,2022-06-09,2022-08-07,정규직,"웹/상품기획디자인, 웹 관리, 온라인마케팅/판매 경력자 채용","
, 앱개발, Android, iOS, 마케팅기획, 마케팅전략,  외            ",마케팅·홍보·조사
(주)바이브컴퍼니,신입 · 경력,대학교(4년) 이상,서울 용산구,2022-06-08,2022-07-07,정규직,[바이브컴퍼니] ASAP BEAUTY 판매/관리 담당자 모집,"
, 영업관리, 영업전략, B2B, B2C, 거래처관리,  외            ",마케팅·홍보·조사
(주)라이브커넥트,2 ~ 5년,대학교(4년) 이상,서울 강남구,2022-06-03,2022-06-30,정규직,플랫폼 서비스기획(UI/UX) 담당자,"
, RFP(제안요청서), 서비스기획, 전략기획, 기획, 사업개발,  외            ",마케팅·홍보·조사
(주)휴먼코아,경력무관,학력무관,경기 성남시 분당구,2022-06-09,2022-06-13,계약직 · 파견직,"[애경그룹 자회사ㅣAK MALLㅣ신입] 행사기획, 디자인 보조 업무","
, 사무직, 문서작성, 사무보조, 서류관리, 기획MD,  외            ",마케팅·홍보·조사
스와치그룹코리아(주),경력 6년↑,대학교(4년) 이상,서울 서대문구,2022-06-09,2022-07-08,정규직,[Swatch Group Korea -Hamiltion]Senior PR&Marketing Executive,"
, 마케팅기획, 마케팅전략, 홍보,  ",마케팅·홍보·조사
캥스터즈(주),경력 3년↑,대학교(4년) 이상,경기 안산시 단원구,2022-06-04,2022-07-03,정규직,[캥스터즈]해외영업 Product Sales Specialist 채용,"
, 해외시장개척, 해외영업, 바이어발굴/관리, 수출입, 글로벌마케팅,  외            ",마케팅·홍보·조사
오케이114주식회사,경력무관,고졸 이상,광주 동구,2022-06-09,2022-06-30,계약직,정보안내 및 광고 안내상담원 구함,"
, 영업관리, 영업지원, 광고영업, 네트워크영업, 거래처관리,  외            ",마케팅·홍보·조사
샵백코리아 유한회사,경력 1년↑,학력무관,서울 서초구,2022-04-28,2022-06-26,정규직 · 계약직,[No.1 쇼핑 리워드 플랫폼] 로켓성장 스타트업 디자인/SNS마케팅,"
, 마케팅전략, 블로그마케팅, 인플루언서마케팅, SNS마케팅, 광고마케팅,  외            ",마케팅·홍보·조사
(주)엘디메디컴,3 ~ 10년,학력무관,서울 강서구,2022-05-12,채용시,정규직,온라인 쇼핑몰운영 관리 및 마케팅기획 신입 경력 무관 경력우대,"
, 매출관리, 마케팅기획, 마케팅전략, 온라인마케팅, 마케팅,  ",마케팅·홍보·조사
엠디티비(주),경력무관,학력무관,경기 의정부시,2022-06-09,2022-08-07,정규직 · 계약직,[엠디티비] 마케팅 신입 및 경력자 모집,"
, 병원마케팅, 블로그마케팅, 인플루언서마케팅, SNS마케팅, 모바일마케팅,  외            ",마케팅·홍보·조사
엠디티비(주),경력무관,학력무관,경기 의정부시,2022-06-09,2022-08-07,정규직 · 계약직,[엠디티비] 사무직 신입 및 경력자 모집,"
, 병원마케팅, 블로그마케팅, 인플루언서마케팅, SNS마케팅, 모바일마케팅,  외            ",마케팅·홍보·조사
주식회사위드엠씨,경력무관,학력무관,서울 중랑구,2022-06-03,2022-06-30,정규직,[위드엠씨] 바이럴마케팅/퍼블리싱/매체영업 담당자 모집,"
, 퍼블리셔, 매체영업, 바이럴마케팅, 오프라인마케팅, 온라인마케팅,  ",마케팅·홍보·조사
(주)코멕스산업,경력 15년↑,대학교(4년) 이상,서울 금천구,2022-06-09,2022-06-30,정규직,마케팅업무 경력직 모집,"
, 마케팅기획, 마케팅, 기획, 홍보,  ",마케팅·홍보·조사
야우린,경력무관,"대학(2,3년) 이상",서울 강남구,2022-06-09,채용시,정규직,YAWOOLIN 야우린 영상 촬영 및 편집제작자 모집 (사세확장),"
, 영상디자이너, 영상자막, 영상제작, 영상편집, 촬영,  외            ",마케팅·홍보·조사
(주)첸노,경력무관,학력무관,대전 서구,2022-06-09,2022-07-08,정규직,[신입/경력] 마케팅 사무보조 및 일반사무원 채용합니다.,"
, 사무직, 사무보조, 통계/분석, 데이터분석, 마케팅,  ",마케팅·홍보·조사
엠디티비(주),경력무관,학력무관,서울 강북구,2022-06-09,2022-08-07,정규직 · 계약직,"[엠디티비] 영상 촬영, 편집 및 기획 직원 모집","
, 영상편집, 유튜브, 병원마케팅, 마케팅기획, 온라인마케팅,  외            ",마케팅·홍보·조사
(주)휴먼코아,경력무관,학력무관,경기 성남시 분당구,2022-06-08,2022-06-13,계약직 · 파견직,[애경그룹 자회사ㅣAK MALLㅣ신입] 보조 MD 사무직 채용,"
, 사무직, 총무, 문서작성, 비품관리, 사무보조,  외            ",마케팅·홍보·조사
나비효과(주),경력무관,학력무관,경기 안양시 동안구,2022-06-09,2022-07-08,정규직,바이럴 원고작성 블로그 카페 마케팅,"
, SNS, 원고작성, 블로그마케팅, 체험마케팅, SNS마케팅,  외            ",마케팅·홍보·조사
(주)펫닥,경력무관,학력무관,서울 서초구,2022-05-01,2022-06-29,정규직 · 계약직,[강남] 반려동물장례지도사·영업지원·훈련사外 각 부문 모집,"
, 기업회계, 재무회계, 의약사무, 영업지원, AMD,  외            ",마케팅·홍보·조사
현대오피스유한책임회사,경력무관,학력무관,대전 대덕구,2022-06-09,2022-06-17,정규직,2022년 정규직 온라인마케팅(쇼핑몰관리/전화응대/고객관리)채용,"
, 콘텐츠관리, 온라인마케팅, 인바운드, 전화응대, 마케팅,  외            ",마케팅·홍보·조사
(주)와이디커뮤니케이션,경력무관,학력무관,서울 강남구,2022-06-09,2022-07-08,정규직,카피라이터 신입/경력 모집합니다,"
, CW(카피라이터),  ",마케팅·홍보·조사
앤써성형외과,경력무관,학력무관,서울 강남구,2022-06-09,2022-08-07,정규직,"앤써성형외과 마케팅, 웹디자인 담당자 채용","
, 마케팅기획, 마케팅전략, 바이럴마케팅, 온라인마케팅, 시각디자인,  외            ",마케팅·홍보·조사
