data_url,data_main,data_middle,data_type,data_career,data_education,data_region,data_title,data_company,data_deadline,data_notice,data_size
https://chief.incruit.com/hh_info/jobpost.asp?job=2204200001792,인터넷·IT·통신·모바일·게임,"
기술영업
",정규직,경력3년이상 ,학력무관,서울 > 영등포구,[외국계기업]Product 신사업 영업부						,(주)더라이징스타,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204200001748,인터넷·IT·통신·모바일·게임,"
기술영업
",정규직,경력3년이상 ,학력무관,서울 > 영등포구,[외국계기업]Product 영업부						,(주)더라이징스타,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204120009903,인터넷·IT·통신·모바일·게임,"
해외영업, 마케팅, 영업관리·영업지원
",정규직,경력3~10년 ,대졸,대졸,(유망 바이오 메디컬 기업) 해외 영업(메디컬) 팀장급 채용						,(주)위드브레인,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2109160003982,인터넷·IT·통신·모바일·게임,"
일반·법인영업
",정규직,경력7~20년 ,초대졸이상,경기 > 성남시 분당구,"IT 솔루션 전문기업, 솔루션 영업 경력자 모집						",(주)유비소시어스,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2104150004725,인터넷·IT·통신·모바일·게임,"
일반·법인영업
",정규직,경력4년이상 ,대졸이상,서울 > 강남구,철강영업 담당자 (2명) - 대기업 지주사						,(주)피플케어코리아,채용시,-,대기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190009671,인터넷·IT·통신·모바일·게임,"
매장관리, 서빙·주방보조
",정규직,경력1~3년 ,고졸이상,강원 > 춘천시,골프클럽 식음료 부서 F&B(사원주임 / 팀원).1016    사업시설 유지.관리 서비스 대기업						,(주)잡뉴스솔로몬서치,채용시,-,대기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190008583,인터넷·IT·통신·모바일·게임,"
영업관리·영업지원, 영업기획, 기술영업
",정규직,경력7~15년 ,대졸,서울 > 영등포구,S/W 솔루션 기술영업 과(차)장급 경력사원 모집						,(주)에이치알맨파워그룹,2022.06.30 (목) 23:59,2022.04.19 (화) 00:00,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190008584,인터넷·IT·통신·모바일·게임,"
영업관리·영업지원
",정규직,경력3~7년 ,학력무관,서울 > 전지역,유명 글로벌 자동차 - SNS Sales Performance Analyst						,헤니앤머코이,채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190006049,인터넷·IT·통신·모바일·게임,"
영업기획, 해외영업, 통신·모바일
",정규직,경력12~20년 ,대졸,대전 > 유성구,국내 빅데이터 기반 인공지능 서비스 전문기업-대전 기술 사업화 센터 영업 책임자						,(주)벤처피플,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190006008,인터넷·IT·통신·모바일·게임,"
영업기획, 해외영업, 통신·모바일
",정규직,경력12~20년 ,대졸,서울 > 강남구,국내 빅데이터 기반 인공지능 서비스 전문기업-데이터 부문장						,(주)벤처피플,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190004408,인터넷·IT·통신·모바일·게임,"
기술영업, 일반사무·사무지원, 총무·법무·특허
",정규직,경력3~12년 ,대졸이상,경기 > 성남시 중원구,성남근무 신규 인허가 취득 관리 대리과장급						,HR컨설팅(주),채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190002458,인터넷·IT·통신·모바일·게임,"
일반·법인영업
",정규직,경력5~15년 ,대졸이상,서울 > 강남구,"병원,약국 플랫폼 영업 담당(경력 5년이상) AI접목 의료솔루션 전문 상장사						",유어사이드(주),채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204190000917,인터넷·IT·통신·모바일·게임,"
영업관리·영업지원, 학습지·방문교사, 일반·법인영업
",정규직,신입/경력(연차무관) ,초대졸이상,"서울 > 전지역, 마포구",[AI 기반 에듀테크 스타트업]세일즈 컨설턴트/신입-경력자						,(주)피플스카우트,채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2110270005411,인터넷·IT·통신·모바일·게임,"
일반·법인영업
",정규직,경력5~10년 ,대졸,서울 > 전지역,Sales Rep.-Key Account						,(주)벤처피플,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204180002510,인터넷·IT·통신·모바일·게임,"
해외영업, 마케팅
",정규직,경력4년이상 ,대졸이상,경기 > 평택시,반도체 소재 제조사 해외 영업기획 및 마케팅 담당자 과차장급						,(주)맨파워코리아,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204180002486,인터넷·IT·통신·모바일·게임,"
해외영업, 마케팅
",정규직,경력5년이상 ,대졸이상,경기 > 평택시,반도체 장비 부품 제조사 해외 영업기획 및 마케팅 담당자 과차장급						,(주)맨파워코리아,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2203020002162,인터넷·IT·통신·모바일·게임,"
영업관리·영업지원
",정규직,신입/경력(연차무관) ,대졸이상,서울 > 전지역,영업지원						,코너스톤코리아(주),2023.03.02 (목) 23:59,2022.03.02 (수) 00:00,대기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2203160001905,인터넷·IT·통신·모바일·게임,"
영업기획
",정규직,경력7년이상 ,학력무관,서울 > 중구,7년 이상 경력의 영업 전문가를 모십니다						,(주)코어피플,2023.03.16 (목) 23:59,2022.03.16 (수) 00:00,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204150008177,인터넷·IT·통신·모바일·게임,"
기술영업, 웹기획·웹마케팅·PM
",정규직,경력3년이상 ,대졸,서울 > 전지역 외 1건,해외기술영업(대리부장급).1005    기계·기계설비 전문 기업						,(주)잡뉴스솔로몬서치,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2111050005085,인터넷·IT·통신·모바일·게임,"
일반·법인영업, 영업기획, 영업관리·영업지원
",정규직,경력4~18년 ,대졸이상,대구 > 전지역 외 3건,중대형 점포개발 (신설.이전.통폐합.전국 서울 인천 경기. 강원.광주.호남.대구.경북 )						,(주)스카우트파트너스,채용시,-,대기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204150000077,인터넷·IT·통신·모바일·게임,"
매장관리
",정규직,경력10년이상 ,초대졸이상,서울 > 강남구,"점포개발 (과차장급) - 국내 유수의 외식, 식음료 서비스 기업, 그룹						",(주)잡뉴스솔로몬서치,채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2201140004728,인터넷·IT·통신·모바일·게임,"
영업관리·영업지원, 유통·상품기획·MD, 컨텐츠·사이트운영
",정규직,경력8년이상 ,대졸이상,서울 > 강남구,온라인 채널 영업 팀장급 (과장-차장급)- 대기업 계열사						,(주)피플케어코리아,채용시,-,대기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204120006799,인터넷·IT·통신·모바일·게임,"
일반·법인영업
",정규직,경력2~14년 ,대졸이상,서울 > 강남구,"원료의약품 전문기업, 영업마케팅 경력자 모집						",(주)유비소시어스,채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204070001250,인터넷·IT·통신·모바일·게임,"
영업기획
",정규직,경력2~5년 ,대졸,서울 > 강남구,[외국계패션]영업 - 주니어						,(주)인코리아 프로페셔널,채용시,-,중소기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204140006555,인터넷·IT·통신·모바일·게임,"
해외영업
",정규직,경력5년이상 ,학력무관,경기 > 성남시 분당구,[한화NxMD] 해외 영업(중국)(과-차장급)						,(주)더라이징스타,채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204140006204,인터넷·IT·통신·모바일·게임,"
기술영업, 연구원·연구개발, 바이오·식품공학
",정규직,신입/경력1년이상 ,대졸이상,서울 > 전지역,외국계 화학기업 Tech Service Manager (동물 분야)						,파인드뉴로드컨설팅(주),채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204140006031,인터넷·IT·통신·모바일·게임,"
일반·법인영업, 운송·물류
",정규직,경력10년이상 ,대졸,서울 > 중구,물류 영업 담당자 모집						,hTLM HR,채용시,-,중견기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2009100001237,인터넷·IT·통신·모바일·게임,"
해외영업, 기술영업
",정규직,경력5년이상 ,학력무관,서울 > 중구,외국계통신기업 해외영업 SI / NI영업 과차장급 채용						,HR컨설팅(주),채용시,-,중기업
https://chief.incruit.com/hh_info/jobpost.asp?job=2204080002444,인터넷·IT·통신·모바일·게임,"
광고영업, 마케팅, 유통·상품기획·MD
",정규직,경력6년이상 ,대졸이상,서울 > 강남구,온라인 스토어 총괄/운영 리더급 (이커머스 플랫폼)-  대기업계열사						,(주)피플케어코리아,채용시,-,대기업
