data_url,data_title_,data_name_,data_field_,data_tag_,data_fieldbody_,data_pay_
https://www.talentbank.co.kr/common/expertView?userSeq=14811,반도체 ,joonbum**,"생산/제조, 품질/안전","해외영업, 컨설팅, 경영",반도체 후공정 반도체용 기판 반도체 기판 검사,"1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=14824,Controller와 Global Sourcing 역량을 겸비한 HR 전문가,jwlee**,"인사, 경영전략/관리, 구매","인사, 경영관리, 구매, 조직관리, 사업기획, 경영전략, 경영, 사업계획, 리더십, 코칭, 원가절감, 조직문화, 제조, 인사평가, 인사관리","1. 33년의 대기업과 중소기업 경력을 가진 경영관리 전문가    두산그룹 30년 근무 (사원~임원 : HR, 구매, 사업기획 경력)    중소기업 3년 근무 (임원 공장장)    큰 조직과 작은 조직의 경영관리 및  운영 Knowhow 겸비 2. HR 제도 혁신 주도 및 인사관리 전문가     두산그룹 HR 제도 혁신 Project 실무 주도    두산인프라코어 HR 담당중역으로서 인사업무 총괄 관리 및 Global HR 제도    구축 Project 주도 (Global 기업인 미국 Bobcat 인수시)3. Global Sourcing 경험    두산 인프라코어 구매담당 임원으로서 Industrial Engine  (디젤엔진) &     Machine Tool (공작기계) Business에서 국내 뿐 아니라 Global Big     Company 들과 Sourcing 업무 수행  4. 사업기획과 성과관리 전문가    두산그룹 입사후 기획팀에서 사원~과장까지 사업기획, 성과관리 실무를 익힘    두산그룹 계열사 기획팀장으로서 사업계획 수립, 성과관리, 경영관리 뿐 아니    라 CEO 및 그룹 회장단에 대한 Reporting 등 경영진 Communication 수행","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=14830,대외거래 진출에 대한 one stop 해결사,nohjex**,"재무/투자, 경영전략/신사업, 엔지니어링, 법무/대정부, 인사/총무","컨설팅, 신사업, 경영전략, 마케팅, 전략기획, 해외영업","1. 재무/ 투자 등에 대한 국제적인 전문지식 및 학력 보유  ( Wharton School   MBA)2. 전략기획, 해외사업발굴, 인사노무 분야에 대한 30년간의 금융기관 근무    (한국수출입은행 30년 근무)3. 선박 해운 금융 관련 포괄적인 노하우 보유    (한국 선박 금융 감사, 한진해운 사외이사)4. 베트남 한국계 금융기관 기관장, ADB 근무 등을 통해  해외진출에 대한 시장    분석 진출전략에 대한 포괄적인 경험과 지식  보유5. 엔지니어링 해외사업 업무 총괄 경험을 통해 신사업 진출에     대한 전문 컨설팅 제공 가능","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=14845,총괄 사무기획 및 사회공헌  선도자 ,ah0609**,총무,"인사, 사업기획, 경영전략, 영업, 경영, 홍보, 회계, 총무, 노무","1.  인사분야      공기업(한전, 한수원) 인사담당 5년2.  총무분야      공기업(한전, 한수원) 총무담당 10년3.  기획분야      공기업(한전, 한수원) 기획담당 4년4. 기타 : 한수원 고리본부 사회공헌 담당 10년,  토지매수 업무,                  한전 영업업무 등","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=14862,중견건설회사의 총괄경영/건축시공기술사/신규 프로젝트 사업성분석/현장 품질안전관리/수주업무,bk10**,"경영전략/관리, 품질/안전","건설분야, 개발, 수주, 총괄, 사업관리, 시공, 품질, 안전","초일류기업(현대건설25년, 동양건설산업10여년등) 근무하며 국내외 건설분야에서 40년 경력자입니다.(1)해외부문(현대건설)해외공사 입찰 수주 및 현장시공 등의 업무에  약 20년 근무.      사우디아라비아 등 중동지역 및 싱가폴 등 동남아 지역 (2)국내부문(현대건설)대규모(4500세대)재건축현장  소장현대백화점 신축현장 소장 아파트현장 소장 기타 군부대공사 병원공사  대학교 신축공사 등등 20년 경력(3)명품아파트 브랜드 론칭(동양 파라곤)(4)건설회사 총괄 사업,  개발, 관도급공사 수주 , 시공 품질 안전 관리업무   신규사업 사업성분석, 투자결정업무","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=14863,"34년의 재무, 전략기획, 해외사업, 영업, 고객지원분야 등에서 축적된 경험과 노하우 보유",SHL**,"재무/회계/자금, 원가관리, 경영전략/관리, B2C영업, CS","경영전략, 경영컨설팅, 재무관리, 전략수립, 원가관리, 협상, 경영진단, 경영혁신, m&a, 서비스기획, 관리회계, 해외, 조직문화, 컨설턴트, 비즈니스모델","1.고객 지원 및 After market network구축 : One stop서비스를 통한 고객 만족도 제고 및 물류/지원체계의 최적화 설계. 현장 서비스 역량강화를 위한 새로운 기술도입(Telematics system등) 도입/운영.2.B2C영업 Network 구축/관리 및 CRM을 통한 고객관리 기법 : 수요예측에기반한 인적/물적 자원 활용 전략. 고객의 충성도 제고를 통한 수익성 및 시장 점유율 제고 전략. 브랜드 인지도 제고 전략.3.재무기획, 재무전략, 단기/중기 사업계획, Process개선을 통한 비용 절감 : 기업의 지속적인 성장/발전을 위한 재무 전략, 투자전략 및 사업계획 수립.4.생산 기지의 해외 진출 전략, 사업의 타당성 분석, 입지분석, 최적화 물류 분석을 기업의 성장 전략 수립/시행 : 중국 상해 공장, 독일 콘쯔 공장, 미국 에쉬빌 공장 및 인도 방갈로 공장 프로젝트를 통한 해외 생산기지의 확충 전략5.ERP System구축 : 업무 프로세스를 분석하여 회사 전체의 업무흐름을 최적화하여 의사결정의 시간 단축, 책임경영 등의 구현을 위한 전략 수립6.목표원가 기법을 신제품 개발 시점부터 적용하고 각 제품별 목표이익에 기반한 제품개발 전략 수립.7.기업회계기준을 엄격히 준수함으로서 경영의 투명성과 기업의 사회적 책임을 강화하는 방안 수립.8.Make or Buy 분석을 통한 기업의 합리적인 투자 의사 결정","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=15644,"패션소재 전문가  ,특허초안 밎 기획  , 정부과제 자문 ",jsfine87**,"제품/공간디자인, Other","소재, 패션교육, 소재가공, 복합소재, 고분자소재, 해외영업, 정부지원사업","1) 패션소재 ,산업용 소재 ,인테리어용 소재 ,  각 소재의  특성과 용도에 맞는  이 ,화학적  분석과 적용 2)  패션소재의 트랜드와  이해 3) 친환경 ,Echo friendly 소재 의 응용과  그 이용방법 4) 섬유에 대한  전반적인  지식과  이해 5)산업용 소재 적용시 적정 섬유와 분자량 6)목적에 맞는 의류용소재 밎 산업용소재  연구 7) 소재의 응용과  적용방법 8)특허관련  기술서 제안및 특허기술 컨설팅  출원 (건당 최소 500만원 )9)국제특허 등록시 문제점과  유의사항 10)기존 특허의  보완과 방어전략 수립 지원","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=15651,"Package 분석 전문가, 소재 전문가, 고객 만족, 개발 효율",jwjan**,Other,"package, 패키징, 패키지, 분석, 소재, 고객", Package 제조 불량에 대한 근본 원인 파악 및 개발 시의 Workflow 개선  Package 소재 (특히 금속)에 대한 개발 방향 제시 및 문제점 발생시 해결 수율 향상을 위해서 가장 근본적인 분석 기술에 대한 체질 개선 고객과의 이슈에 대해서 기술 Communication으로 고객 설득 및 이슈 조기 종료  해당 실무 Engineer와 동일한 눈높이에서 Coach하여 기술역량 및 업무 만족도 향상,"1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=15659,현장과 HQ경험의 인사/노무분야 전문가,jjm66**,"노무, 인사, 총무, 교육","인사, 리더십, 조직관리, 조직문화, 노무, 채용, 총무, 인재육성, 인사관리","1. 노무  조직분위기 안정화 및 건전한 노동조합 리더 육성 및 견인활동  건전하고 발전적 노경 파트너쉽 구축으로 사업 및 노경 이슈 해결  노경 중장기 비전을 설정하고 달성을 위한 계획 수립/실행2. 인사/육성/조직문화  생산성(인당/원당) 관점의 인원/인건비 운영 (Global)  역할/일/성과 중심의 공정한 인사제도 및 시스템 개발/운영  리더십 파이프라인 구축 및 리더십과정 개발/운영  직무별 직급별 세대별 필요한 각종 교육 니즈 조사 및 과정개발/운영  (직무 College, 시니어 Reskilling & Upskilling 프로그램...)  구성원들과 함께 회사가 나아가야 할 비전과 핵심역량 또는 가치를 만들고  사업목표에 Align되는 조직목표와 성과 중심의 일하는 조직변화활동 3. 기타인사/노무/육성/조직문화업무는 Top의 역할도 중요하지만,현장에 대한 이해와 조직 구성원들과 원활한 소통을 통하여중장기적 관점에서 고민하고 시간과 노력을 투자해야 함.","1일 ***,***"
https://www.talentbank.co.kr/common/expertView?userSeq=15670,"사업계획서 작성 및 데이터 바우처 사업, 전략기획업무 외 사업타당성 검토",bizmat**,"신규사업/BD, 경영전략/관리, 마케팅전략/브랜딩, 인사, 총무","전략기획, 사업기획&경영전략, 마케팅, 신사업, 스타트업, 전략, 경영, 창업, 인사, 신규사업, 사업계획서, 경영관리, 정부지원사업, 경영컨설팅, 조직문화","핵심역량  전략기획 수립 및 프로세스에 대한 전반적인 이해가 높음  기업 경영기획 관련 업무흐름에 대한 전략 수립 및 체계화  신규 사업기획 및 추진과 조직화에 대한 이해도가 우수함  정보취득 및 분석능력이 우수하며, 상장관련 업무 이해가 높음1.경영관리 및 인사, 총무 업무 총괄 과 신규사업 타당성검토 2.근무기간 중 경영관리, 총무, 인사 업무 수행담당업무기술  총무업무, 자산관리, 비품구매, 업무 관리총괄  인사업무, 인사기획, 평가, 연봉협상 업무총괄   법무업무, 회사 소송업무진행, 관리총괄  주식업무, 주주관리, 전략기획, 신규사업 추진그 외   신규사업 검토 및 사업타당성 검토  대상 기업 조사 및 Pearl 대상 투자타당성 검토 및 실사1.기업 M&A 계약 검토 및 사업 구조조정 과 신규사업 타당성검토 2.근무기간 중 코스닥 4개사 M&A 업무 수행 및 전략기획 업무 수행1.각 계열사 신규사업 추진 및 타당성 검토, 시세차익실현2.각 계열사 별 경영관련 구조조정 및 신규사업 추진 관리담당업무기술 컨설팅 및 M&A를 위한 파견 근무사 1. (주)디지탈디바이스(2006/04~2007/03) 전략기획팀 팀장  투자대상PEARL 투자심사 및 타당성 검토  베트남 방송시장 조사 및 케이블 방송 사업 타당성 검토  국내 교육방송관련 디지털방송(DMB, IPTV)검토   ISO 9000/12000 심사 진행  유전사업(러시아 코미공화국 자오웨스트 오일사 인수)  일본 덴켄사 낙뢰보호시스템 생산 및 수출 사업타당성 검토(일본 덴켄사와의 연간 300억 원의 수출계약체결)(주)시티신문사(2007/03~2007/05) 구조조정 및 사업개발 팀장  투자대상PEARL 투자심사 및 타당성 검토  신규사업 투자검토 및 시장조사   (주)도들샘 (코스닥) 인수  신규사업 타당성 검토 및 구조조정, 기업물적, 인적 분할업무수행  ㈜에이스 하이텍 M&A 추진 및 구조조정 업무 수행","1일 ***,***"
